TIMESERIES IS_KRMI__SHZ_D, 14304 samples, 40 sps, 2008-01-04T15:48:38.150000, SLIST, FLOAT, 
-1.0299456848e-07	-1.0592289977e-07	-9.7512425841e-08	-9.1403985828e-08	-7.7771217650e-08	-8.8642903880e-08
-6.5025888293e-08	-1.1906828225e-07	-5.6288824097e-08	-3.4076389943e-08	-1.0522401629e-07	-3.4922594159e-08
-1.7531680708e-08	-1.3218706148e-07	-2.7379252968e-08	-5.0322734057e-10	-8.8117513118e-08	-4.1197735420e-08
+5.6915349946e-09	-5.6599427082e-08	-2.3090794631e-08	+5.3476040004e-08	-7.9294349733e-08	-5.1773542499e-08
+8.9243554217e-08	-5.9614613455e-08	+2.0009680255e-09	+4.7288552512e-08	-1.1086968489e-07	+6.4627716341e-09
+1.9539226421e-07	-1.1686647728e-07	-5.5621272029e-08	+1.6051355686e-07	-3.4873267607e-08	-3.7837467599e-08
+9.9554663126e-08	+8.3328584355e-09	-4.2725580499e-08	+1.6594831675e-07	+6.2852913742e-08	-1.5058044630e-07
+1.4392264082e-09	+7.0581867960e-08	+1.2939950398e-07	-9.4343001714e-08	-4.9185940300e-08	+2.1571393105e-07
-3.7951798789e-09	+3.4150287126e-08	-9.1724468160e-08	-4.4756326065e-08	+1.1881827928e-07	-4.6969190975e-08
+5.6916920286e-08	+1.4200260672e-08	+3.6202837558e-08	-2.2321495916e-08	-7.5493226720e-08	+1.4781303545e-07
-2.3437831011e-08	-2.0364365079e-07	+1.2433140686e-07	-3.4121258402e-09	-3.9618020950e-08	+1.2749361657e-07
-1.3400350096e-07	+6.6301904274e-08	-5.0048074821e-08	-2.8751202399e-07	+2.2694563381e-07	+7.8860754896e-08
+2.7102941388e-08	-7.7286345612e-08	-2.7160373728e-07	+1.7306363581e-07	+3.3387281006e-08	-1.5776199970e-07
+1.5064530882e-07	-2.6138467025e-07	+3.2683262775e-07	+2.0282963613e-07	-6.6013968238e-07	+3.1919379672e-07
+1.0241067415e-07	-3.6823946862e-07	+4.8408609517e-07	-6.4715574988e-08	-2.4909336561e-07	+2.0723419891e-07
-5.2331939253e-10	-1.1405086375e-07	+1.5497566938e-07	+8.7366507817e-09	+4.8128636542e-08	+4.5034890288e-10
-2.4326657653e-07	+2.7730369661e-07	+1.0388020796e-07	-6.2332440781e-08	+1.6525394125e-07	-3.3666028666e-07
+2.0352669166e-08	+3.3341003112e-07	+9.2339350346e-08	-3.1237842624e-07	+1.9210928965e-07	+1.2292666378e-07
-4.0505452286e-07	+4.3451602402e-07	-1.6460560594e-07	-1.4766233791e-07	+6.5227288677e-07	-2.0418109731e-07
-4.6041385010e-07	+1.1326724394e-07	+2.2500171924e-07	-3.1394192527e-07	+3.5770597089e-07	+2.1192191983e-07
-7.6966677386e-07	+5.1284966233e-07	-1.1121052743e-07	-4.9420816507e-07	+9.3523261058e-07	-2.5062729847e-07
