dateEQ: 2008-01-28T03:44:01,
magnitude: 0,
Epicenter Lat: 35.299,
Epicenter Long: 36.235,
Depth: 0
AA, EILT, BHZ, 31.5918, 35.3933, 418.550946622, 0
AA, EILT, BLE, 31.5918, 35.3933, 418.550946622, 0
AA, EILT, BLN, 31.5918, 35.3933, 418.550946622, 0
AA, EILT, BLZ, 31.5918, 35.3933, 418.550946622, 0
AA, ELOT, BHE, 29.58234, 34.96373, 645.101801381, 0
AA, ELOT, BHN, 29.58234, 34.96373, 645.101801381, 0
AA, ELOT, BHZ, 29.58234, 34.96373, 645.101801381, 0
AA, ELOT, BLE, 29.58234, 34.96373, 645.101801381, 0
AA, ELOT, BLN, 29.58234, 34.96373, 645.101801381, 0
AA, ELOT, BLZ, 29.58234, 34.96373, 645.101801381, 0
AA, GOS, BHE, 33.21959, 35.62411, 237.424307598, 0
AA, GOS, BHN, 33.21959, 35.62411, 237.424307598, 0
AA, GOS, BHZ, 33.21959, 35.62411, 237.424307598, 0
AA, GOS, BLE, 33.21959, 35.62411, 237.424307598, 0
AA, GOS, BLN, 33.21959, 35.62411, 237.424307598, 0
AA, GOS, BLZ, 33.21959, 35.62411, 237.424307598, 0
AA, HAC, BHE, 32.81151, 35.02058, 297.823309847, 0
AA, HAC, BHN, 32.81151, 35.02058, 297.823309847, 0
AA, HAC, BHZ, 32.81151, 35.02058, 297.823309847, 0
AA, HAC, BLE, 32.81151, 35.02058, 297.823309847, 0
AA, HAC, BLN, 32.81151, 35.02058, 297.823309847, 0
AA, HAC, BLZ, 32.81151, 35.02058, 297.823309847, 0
AA, HAD, BHE, 32.46655, 34.88686, 338.014495982, 0
AA, HAD, BHN, 32.46655, 34.88686, 338.014495982, 0
AA, HAD, BHZ, 32.46655, 34.88686, 338.014495982, 0
AA, HAD, BLE, 32.46655, 34.88686, 338.014495982, 0
AA, HAD, BLN, 32.46655, 34.88686, 338.014495982, 0
AA, HAD, BLZ, 32.46655, 34.88686, 338.014495982, 0
AA, HAI, BHE, 32.89032, 35.09952, 286.986816383, 0
AA, HAI, BHN, 32.89032, 35.09952, 286.986816383, 0
AA, HAI, BHZ, 32.89032, 35.09952, 286.986816383, 0
AA, HAI, BLE, 32.89032, 35.09952, 286.986816383, 0
AA, HAI, BLN, 32.89032, 35.09952, 286.986816383, 0
AA, HAI, BLZ, 32.89032, 35.09952, 286.986816383, 0
AA, HAR, BHE, 30.03645, 35.03686, 594.317096278, 0
AA, HAR, BHN, 30.03645, 35.03686, 594.317096278, 0
AA, HAR, BHZ, 30.03645, 35.03686, 594.317096278, 0
AA, HAR, BLE, 30.03645, 35.03686, 594.317096278, 0
AA, HAR, BLN, 30.03645, 35.03686, 594.317096278, 0
AA, HAR, BLZ, 30.03645, 35.03686, 594.317096278, 0
AA, HAT, BHE, 32.77891, 35.024, 301.066258648, 0
AA, HAT, BHN, 32.77891, 35.024, 301.066258648, 0
AA, HAT, BHZ, 32.77891, 35.024, 301.066258648, 0
AA, HAT, BLE, 32.77891, 35.024, 301.066258648, 0
AA, HAT, BLN, 32.77891, 35.024, 301.066258648, 0
AA, HAT, BLZ, 32.77891, 35.024, 301.066258648, 0
AA, HLN, BHE, 32.01717, 34.7702, 388.522170028, 0
AA, HLN, BHN, 32.01717, 34.7702, 388.522170028, 0
AA, HLN, BHZ, 32.01717, 34.7702, 388.522170028, 0
AA, HLN, BLE, 32.01717, 34.7702, 388.522170028, 0
AA, HLN, BLN, 32.01717, 34.7702, 388.522170028, 0
AA, HLN, BLZ, 32.01717, 34.7702, 388.522170028, 0
