dateEQ: 2008-01-04T15:48:38,
magnitude: 3,
Epicenter Lat: 32.0741,
Epicenter Long: 35.4862,
Depth: 5.2036
AA, EILT, BHE, 31.5918, 35.3933, 54.1975486767, 0
AA, EILT, BHN, 31.5918, 35.3933, 54.1975486767, 0
AA, EILT, BHZ, 31.5918, 35.3933, 54.1975486767, 0
AA, EILT, BLE, 31.5918, 35.3933, 54.1975486767, 0
AA, EILT, BLN, 31.5918, 35.3933, 54.1975486767, 0
AA, EILT, BLZ, 31.5918, 35.3933, 54.1975486767, 0
AA, ELOT, BHE, 29.58234, 34.96373, 280.737623764, 0
AA, ELOT, BHN, 29.58234, 34.96373, 280.737623764, 0
AA, ELOT, BHZ, 29.58234, 34.96373, 280.737623764, 0
AA, ELOT, BLE, 29.58234, 34.96373, 280.737623764, 0
AA, ELOT, BLN, 29.58234, 34.96373, 280.737623764, 0
AA, ELOT, BLZ, 29.58234, 34.96373, 280.737623764, 0
AA, GOS, BHE, 33.21959, 35.62411, 127.690016629, 0
AA, GOS, BHN, 33.21959, 35.62411, 127.690016629, 0
AA, GOS, BHZ, 33.21959, 35.62411, 127.690016629, 0
AA, GOS, BLE, 33.21959, 35.62411, 127.690016629, 0
AA, GOS, BLN, 33.21959, 35.62411, 127.690016629, 0
AA, GOS, BLZ, 33.21959, 35.62411, 127.690016629, 0
AA, HAC, BHE, 32.81151, 35.02058, 92.7587801951, 0
AA, HAC, BHN, 32.81151, 35.02058, 92.7587801951, 0
AA, HAC, BHZ, 32.81151, 35.02058, 92.7587801951, 0
AA, HAC, BLE, 32.81151, 35.02058, 92.7587801951, 0
AA, HAC, BLN, 32.81151, 35.02058, 92.7587801951, 0
AA, HAC, BLZ, 32.81151, 35.02058, 92.7587801951, 0
AA, HAD, BHE, 32.46655, 34.88686, 71.2909051311, 0
AA, HAD, BHN, 32.46655, 34.88686, 71.2909051311, 0
AA, HAD, BHZ, 32.46655, 34.88686, 71.2909051311, 0
AA, HAD, BLE, 32.46655, 34.88686, 71.2909051311, 0
AA, HAD, BLN, 32.46655, 34.88686, 71.2909051311, 0
AA, HAD, BLZ, 32.46655, 34.88686, 71.2909051311, 0
AA, HAI, BHE, 32.89032, 35.09952, 97.5394481041, 0
AA, HAI, BHN, 32.89032, 35.09952, 97.5394481041, 0
AA, HAI, BHZ, 32.89032, 35.09952, 97.5394481041, 0
AA, HAI, BLE, 32.89032, 35.09952, 97.5394481041, 0
AA, HAI, BLN, 32.89032, 35.09952, 97.5394481041, 0
AA, HAI, BLZ, 32.89032, 35.09952, 97.5394481041, 0
AA, HAR, BHE, 30.03645, 35.03686, 229.949456525, 0
AA, HAR, BHN, 30.03645, 35.03686, 229.949456525, 0
AA, HAR, BHZ, 30.03645, 35.03686, 229.949456525, 0
AA, HAR, BLE, 30.03645, 35.03686, 229.949456525, 0
AA, HAR, BLN, 30.03645, 35.03686, 229.949456525, 0
AA, HAR, BLZ, 30.03645, 35.03686, 229.949456525, 0
AA, HAT, BHE, 32.77891, 35.024, 89.4348749998, 0
AA, HAT, BHN, 32.77891, 35.024, 89.4348749998, 0
AA, HAT, BHZ, 32.77891, 35.024, 89.4348749998, 0
