dateEQ: 2008-02-11T23:46:51,
magnitude: 4.3,
Epicenter Lat: 33.2952,
Epicenter Long: 35.4253,
Depth: 9.5648
AA, EILT, BHN, 31.5918, 35.3933, 188.921884407, 0
AA, EILT, BHZ, 31.5918, 35.3933, 188.921884407, 0
AA, EILT, BLE, 31.5918, 35.3933, 188.921884407, 0
AA, EILT, BLN, 31.5918, 35.3933, 188.921884407, 0
AA, EILT, BLZ, 31.5918, 35.3933, 188.921884407, 0
AA, ELOT, BHE, 29.58234, 34.96373, 414.001698238, 0
AA, ELOT, BHN, 29.58234, 34.96373, 414.001698238, 0
AA, ELOT, BHZ, 29.58234, 34.96373, 414.001698238, 0
AA, ELOT, BLE, 29.58234, 34.96373, 414.001698238, 0
AA, ELOT, BLN, 29.58234, 34.96373, 414.001698238, 0
AA, ELOT, BLZ, 29.58234, 34.96373, 414.001698238, 0
AA, GOS, BHE, 33.21959, 35.62411, 20.3349122135, 0
AA, GOS, BHN, 33.21959, 35.62411, 20.3349122135, 0
AA, GOS, BHZ, 33.21959, 35.62411, 20.3349122135, 0
AA, GOS, BLE, 33.21959, 35.62411, 20.3349122135, 0
AA, GOS, BLN, 33.21959, 35.62411, 20.3349122135, 0
AA, GOS, BLZ, 33.21959, 35.62411, 20.3349122135, 0
AA, HAC, BHE, 32.81151, 35.02058, 65.6235499503, 0
AA, HAC, BHN, 32.81151, 35.02058, 65.6235499503, 0
AA, HAC, BHZ, 32.81151, 35.02058, 65.6235499503, 0
AA, HAC, BLE, 32.81151, 35.02058, 65.6235499503, 0
AA, HAC, BLN, 32.81151, 35.02058, 65.6235499503, 0
AA, HAC, BLZ, 32.81151, 35.02058, 65.6235499503, 0
AA, HAD, BHE, 32.46655, 34.88686, 104.805336802, 0
AA, HAD, BHN, 32.46655, 34.88686, 104.805336802, 0
AA, HAD, BHZ, 32.46655, 34.88686, 104.805336802, 0
AA, HAD, BLE, 32.46655, 34.88686, 104.805336802, 0
AA, HAD, BLN, 32.46655, 34.88686, 104.805336802, 0
AA, HAD, BLZ, 32.46655, 34.88686, 104.805336802, 0
AA, HAI, BHE, 32.89032, 35.09952, 54.2337343935, 0
AA, HAI, BHN, 32.89032, 35.09952, 54.2337343935, 0
AA, HAI, BHZ, 32.89032, 35.09952, 54.2337343935, 0
AA, HAI, BLE, 32.89032, 35.09952, 54.2337343935, 0
AA, HAI, BLN, 32.89032, 35.09952, 54.2337343935, 0
AA, HAI, BLZ, 32.89032, 35.09952, 54.2337343935, 0
AA, HAR, BHE, 30.03645, 35.03686, 363.205658365, 0
AA, HAR, BHN, 30.03645, 35.03686, 363.205658365, 0
AA, HAR, BHZ, 30.03645, 35.03686, 363.205658365, 0
AA, HAR, BLE, 30.03645, 35.03686, 363.205658365, 0
AA, HAR, BLN, 30.03645, 35.03686, 363.205658365, 0
AA, HAR, BLZ, 30.03645, 35.03686, 363.205658365, 0
