Date,Time(UTC),Millisecond,Md,Mb,Mw,Lat,Long,Depth(Km),Region,Type
2008-01-04,15:50:02,117,3.1,0.0,0.0,32.0764,35.4734,3,E.Shomron,EQ
2008-01-05,05:28:06,248,3.5,0.0,0.0,32.0732,36.2551,8,Northern-Jordan,EQ
2008-01-28,03:45:01,842,3.7,0.0,0.0,35.2990,36.2350,0,Yamune,EQ
2008-02-03,17:06:46,543,3.5,0.0,0.0,28.9188,34.7724,0,Aragonese-Deep,EQ
2008-02-11,23:47:02,368,4.3,4.4,0.0,33.2566,35.4157,0,Lebanon,F
2008-02-12,14:19:37,792,3.3,0.0,0.0,33.2415,35.4330,0,Lebanon,EQ
2008-02-14,16:55:59,914,3.4,0.0,0.0,33.2820,35.3936,2,Lebanon,EQ
2008-02-14,18:11:04,149,3.3,0.0,0.0,33.2219,35.4175,0,Lebanon,EQ
2008-02-15,10:36:17,239,4.9,5.1,0.0,33.3271,35.4059,3,Lebanon,F 
2008-02-15,12:15:15,791,3.8,0.0,0.0,33.2530,35.4312,0,Lebanon,EQ
2008-02-15,13:26:50,616,3.6,0.0,3.4,33.2731,35.4169,0,Lebanon,EQ
2008-02-16,18:00:27,378,3.1,0.0,0.0,33.2279,35.4397,0,Lebanon,EQ
2008-02-20,08:53:20,823,3.6,0.0,0.0,33.2435,35.4276,0,Lebanon,EQ
2008-02-28,13:39:45,557,3.0,0.0,0.0,33.2435,35.4319,1,Lebanon,EQ
2008-03-01,05:47:33,881,3.4,0.0,0.0,33.2575,35.4334,0,Lebanon,EQ
2008-03-18,03:09:56,431,3.1,0.0,0.0,27.8517,34.1852,0,Sinai,EQ
2008-03-20,09:06:34,75,3.6,0.0,0.0,27.6506,34.7002,10,Red-Sea,EQ
2008-03-20,23:03:01,202,3.5,0.0,0.0,34.3915,32.1513,32,Cyprus,EQ
2008-03-23,23:54:39,484,3.9,4.1,0.0,27.3473,35.2423,10,Red-Sea,EQ
2008-03-30,03:10:02,452,3.0,0.0,0.0,33.2466,35.4217,1,Lebanon,EQ
2008-04-04,14:05:17,448,3.9,4.1,0.0,28.7147,34.8601,0,Aragonese-Deep,EQ
2008-04-04,14:14:47,659,3.4,0.0,0.0,28.8365,34.6325,0,Aragonese-Deep,EQ
