AA.POR..BLE | 2004-02-11T08:15:28.000000Z - 2004-02-11T08:15:58.995000Z | 200.0 Hz, 6200 samples
AA.BNR..BLE | 2004-02-11T08:15:14.000000Z - 2004-02-11T08:15:48.995000Z | 200.0 Hz, 7000 samples
AA.BNR..BLN | 2004-02-11T08:15:14.000000Z - 2004-02-11T08:15:48.995000Z | 200.0 Hz, 7000 samples
AA.BNR..BHZ | 2004-02-11T08:15:14.000000Z - 2004-02-11T08:15:48.990000Z | 200.0 Hz, 6999 samples
AA.BNR..BHE | 2004-02-11T08:15:14.000000Z - 2004-02-11T08:15:48.990000Z | 200.0 Hz, 6999 samples
AA.BNR..BLZ | 2004-02-11T08:15:14.000000Z - 2004-02-11T08:15:48.995000Z | 200.0 Hz, 7000 samples
AA.BNR..BHN | 2004-02-11T08:15:14.000000Z - 2004-02-11T08:15:48.990000Z | 200.0 Hz, 6999 samples
AA.BET..BLZ | 2004-02-11T08:15:20.000000Z - 2004-02-11T08:15:50.995000Z | 200.0 Hz, 6200 samples
AA.BET..BHE | 2004-02-11T08:15:20.000000Z - 2004-02-11T08:15:50.990000Z | 200.0 Hz, 6199 samples
AA.BET..BHZ | 2004-02-11T08:15:20.000000Z - 2004-02-11T08:15:50.990000Z | 200.0 Hz, 6199 samples
AA.BET..BLN | 2004-02-11T08:15:20.000000Z - 2004-02-11T08:15:50.995000Z | 200.0 Hz, 6200 samples
AA.BET..BLE | 2004-02-11T08:15:20.000000Z - 2004-02-11T08:15:50.995000Z | 200.0 Hz, 6200 samples
AA.BET..BHN | 2004-02-11T08:15:20.000000Z - 2004-02-11T08:15:50.990000Z | 200.0 Hz, 6199 samples
AA.ARI..BLN | 2004-02-11T08:15:10.000000Z - 2004-02-11T08:15:40.995000Z | 200.0 Hz, 6200 samples
AA.ARI..BLE | 2004-02-11T08:15:10.000000Z - 2004-02-11T08:15:40.995000Z | 200.0 Hz, 6200 samples
AA.ARI..BHE | 2004-02-11T08:15:10.000000Z - 2004-02-11T08:15:40.990000Z | 200.0 Hz, 6199 samples
AA.ARI..BLZ | 2004-02-11T08:15:10.000000Z - 2004-02-11T08:15:40.995000Z | 200.0 Hz, 6200 samples
AA.ARI..BHN | 2004-02-11T08:15:10.000000Z - 2004-02-11T08:15:40.990000Z | 200.0 Hz, 6199 samples
AA.ARI..BHZ | 2004-02-11T08:15:10.000000Z - 2004-02-11T08:15:40.990000Z | 200.0 Hz, 6199 samples
AA.DIM..BHN | 2004-02-11T08:15:40.000000Z - 2004-02-11T08:16:09.990000Z | 200.0 Hz, 5999 samples
AA.DIM..BHE | 2004-02-11T08:15:40.000000Z - 2004-02-11T08:16:09.990000Z | 200.0 Hz, 5999 samples
AA.DIM..BLE | 2004-02-11T08:15:40.000000Z - 2004-02-11T08:15:40.000000Z | 200.0 Hz, 1 samples
AA.DIM..BLE | 2004-02-11T08:15:40.040000Z - 2004-02-11T08:15:40.055000Z | 200.0 Hz, 4 samples
AA.DIM..BLE | 2004-02-11T08:15:40.125000Z - 2004-02-11T08:15:40.145000Z | 200.0 Hz, 5 samples
AA.DIM..BLE | 2004-02-11T08:15:40.190000Z - 2004-02-11T08:15:40.205000Z | 200.0 Hz, 4 samples
AA.DIM..BLE | 2004-02-11T08:15:40.240000Z - 2004-02-11T08:15:40.295000Z | 200.0 Hz, 12 samples
AA.DIM..BLE | 2004-02-11T08:15:40.345000Z - 2004-02-11T08:15:40.370000Z | 200.0 Hz, 6 samples
AA.DIM..BLE | 2004-02-11T08:15:40.465000Z - 2004-02-11T08:15:40.505000Z | 200.0 Hz, 9 samples
AA.DIM..BLE | 2004-02-11T08:15:40.535000Z - 2004-02-11T08:15:40.580000Z | 200.0 Hz, 10 samples
AA.DIM..BLE | 2004-02-11T08:15:40.610000Z - 2004-02-11T08:15:40.940000Z | 200.0 Hz, 67 samples
AA.DIM..BLE | 2004-02-11T08:15:40.970000Z - 2004-02-11T08:15:41.200000Z | 200.0 Hz, 47 samples
AA.DIM..BLE | 2004-02-11T08:15:41.235000Z - 2004-02-11T08:15:41.355000Z | 200.0 Hz, 25 samples
AA.DIM..BLE | 2004-02-11T08:15:41.415000Z - 2004-02-11T08:15:41.485000Z | 200.0 Hz, 15 samples
