Record Sequence Number,EQID,YEAR,MODY,HRMN,Station Name,Component,Station Sequence Number,Station ID  No.,Station Type,Station Network,Earthquake Magnitude,Magnitude Type,Mo (dyne.cm),Strike (deg),Dip (deg),Rake Angle (deg),Mechanism,Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Finite Rupture Model: 1=Yes;  0=No,Depth to Top Of Fault Rupture Model,Fault Rupture Width (km),Fault Rupture Area (km^2),Fault Name,Slip Rate (mm/Yr),EpiD      (km),HypD           (km),Joyner-Boore Dist. (km),FW/HW Indicator,Source to Site Azimuth (deg),Vs30 (m/s) selected for analysis,Preferred NEHRP Based on Vs30,Surface Geological Unit,Station Latitude,Station Longitude,Depth to Top Judea (km),Depth to Vs=1100,File Name (Horizontal 1),File Name (Horizontal 2),File Name (Vertical),H1 azimth (degrees),H2 azimith (degrees),Type of Recording,Instrument Model,Type of Filter,npass,HP (Hz),LP (Hz),Factor,Lowest Usable Freq - V (Hz),PGA (g),PGV (cm/sec),PGD (cm),f 0.01 Hz,0.012,0.014,0.017,0.021,0.025,0.030,0.036,0.044,0.052,0.063,0.076,0.091,0.110,0.130,0.160,0.190,0.230,0.280,0.330,0.400,0.480,0.580,0.690,0.830,1.00,1.20,1.450,1.740,2.090,2.510,3.020,3.630,4.370,5.250,6.310,7.590,9.120,10.970,13.180,15.850,19.060,22.910,27.540,33.110,39.810,47.860,57.540,69.180,83.180,100.00
21,,2008,1019,1407,IS_SLTI__SHN,SHN,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,280.18275,,,,,,,,32.2408,35.041,,,,,,,,,,,,0.16969710913234198,10.982173594246373,,,1.0986970180656521e-07,6.3118744918585115e-09,3.970312758460313e-08,7.894889281515959e-07,7.866701982690773e-07,7.894600553126019e-07,8.116012592781158e-07,8.074309409935145e-07,6.693285094293783e-07,8.179287312225436e-07,1.3017018270797138e-06,1.2194997638943791e-06,1.0971919312869022e-06,8.990914607946222e-07,8.810786916938684e-07,9.421931262176496e-07,1.1237636722881772e-06,2.684364293334181e-07,3.7260222756867904e-07,2.009268028730055e-06,1.1359955064642581e-06,1.0016741678809755e-06,7.655811240992628e-07,6.869710030078917e-07,2.9142181348945497e-06,2.278120947128108e-06,2.4471388267881505e-06,3.196488874534593e-06,8.582804578776172e-06,6.247374087680717e-06,1.6555342111980096e-05,1.5397906120585667e-05,1.812561328348117e-05,1.3503028542999721e-05,2.6882466033224704e-05,1.0629073475182818e-05,1.0531571434226705e-05,1.0378970961315908e-05,1.333102750394416e-06,6.182948320902584e-06,2.5805012647913342e-06,4.003328814006461e-06,1.3283606698820747e-06,8.182402400790693e-08,6.927016721608318e-09,,,,,,,,,
22,,2008,1019,1407,IS_MMC6__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,214.87913,,,,,,,,33.01203,35.39151,,,,,,,,,,,,0.16548731966907376,15.610773157806022,,,9.37151840596553e-07,2.8273067440036378e-08,9.236956235835342e-10,7.172333755565794e-10,7.184335365012115e-10,7.196309497159844e-10,7.22064407869406e-10,7.27774713003491e-10,7.352679583932146e-10,7.403897395677613e-10,7.78341833677289e-10,8.147742729455797e-10,9.032114360529556e-10,1.3088133848643406e-09,2.1066434990396176e-09,6.157969677635562e-09,1.5619081311697184e-08,1.800770470252435e-08,1.1917939111315743e-07,3.9087065971554555e-07,2.880124263624076e-07,7.606833827439911e-07,4.6214684504525055e-07,1.8953813142409428e-06,1.5076299654573653e-06,3.099700129825532e-06,4.056617991661414e-06,3.5313586271106417e-06,2.931922281413135e-06,1.9361755567032642e-05,1.4305870275740086e-05,3.841595880708882e-06,6.592602011873493e-05,5.622576552819852e-05,5.804030339323189e-05,0.00013811615811686406,0.00024589009648588175,0.00022589470018051166,0.00029303237358786814,0.00016928475818358963,0.000108993075139169,8.833033741147288e-05,4.424137345221133e-05,2.0619112162622835e-05,8.468569968891893e-10,,,,,,,,,
23,,2008,1019,1407,IS_HRFI__BHN,BHN,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,518.571195,,,,,,,,30.04,35.03,,,,,,,,,,,,0.3101042891746055,9.932290562950914,,,7.029217391540003e-06,3.028574394488194e-07,4.3587571759105645e-08,1.083787370008367e-07,1.0832098649483917e-07,1.0825911570026838e-07,1.0810108355341716e-07,1.0789483923571336e-07,1.076427347596049e-07,1.0703936345304148e-07,1.0391139869461348e-07,1.1486886917557019e-07,1.1315809826845548e-07,1.450962245236737e-07,3.5489829612123026e-07,3.5502219719734707e-07,8.366964424521079e-07,1.6624435499018422e-06,3.791427583343557e-06,3.1648459929375325e-05,5.010364375048575e-05,0.0001385747207113892,0.0002019342228582882,0.0004542795640041007,0.0005328132637471649,0.0005597124917918679,0.00021724321038321993,0.0005492430429751016,0.0009777460066707681,0.00024089097381398977,0.0006995852419092371,0.00047764870678400904,0.001507302863396102,0.00035979865687525665,0.0007259574298390959,0.0007476310807154552,0.0010801522429051379,0.0016612674543981193,0.0014111579203407686,0.0005642834184748982,0.000807756688098526,0.0001879735672506529,5.4697076918158964e-05,3.5178541314927e-06,1.2292615899111031e-09,,,,,,,,,
24,,2008,1019,1407,IS_SLTI__SHE,SHE,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,280.18275,,,,,,,,32.2408,35.041,,,,,,,,,,,,0.18763477559595848,14.11840138794345,,,1.1385491266014444e-07,4.278259763812562e-09,4.832700383350078e-09,9.236910904134058e-08,9.54216767368648e-08,8.870006353270913e-08,1.0802662930802657e-07,1.2601569030991122e-07,1.481195812171632e-07,1.6809206792799807e-07,3.6328268745627427e-07,2.947630557751155e-07,7.450257695258954e-07,3.6967087042354467e-07,6.285016328029108e-07,7.343983265155441e-07,3.0608518604208607e-07,7.541825829439768e-07,6.675751340372021e-07,6.704743596329086e-07,7.189184029133515e-07,3.7628758432696643e-07,8.743667443436376e-07,2.389459806178627e-06,5.462055501262822e-07,5.827276600808909e-07,1.2216179045757177e-06,2.745149485595118e-06,5.278545411283468e-06,2.3683072798269266e-06,1.9713698550055793e-06,9.913854088376298e-06,1.7690771257338958e-05,1.4457393513499329e-05,3.0865644758210767e-06,1.9544205482909803e-05,2.5322988378404415e-05,1.9301624121240626e-06,8.454310631178266e-06,7.97779213207256e-06,9.895382550939219e-06,7.336617997837153e-06,1.9667519264858435e-06,1.0159456174405137e-06,9.16307148697811e-10,,,,,,,,,
25,,2008,1019,1407,IS_PRNI__SHN,SHN,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,484.011364,,,,,,,,30.3522,35.0052,,,,,,,,,,,,0.182979994466891,11.84179314417475,,,2.120437964554153e-06,1.389342866458443e-07,1.1438469682878913e-07,2.363698354422848e-06,2.361197305130543e-06,2.3603238572999353e-06,2.3364682637772452e-06,2.635328879654156e-06,2.4266528269877067e-06,2.22351222767505e-06,2.0932877994655342e-06,1.964899154195684e-06,2.6197638719836e-06,4.021399459362149e-06,5.007457229824267e-06,1.0553252774405933e-05,1.5070513481282303e-05,2.4707481010592155e-05,2.4753544312674487e-05,7.812998032190975e-05,0.0001908449922591702,0.0001362375053405375,0.0001739461498744388,9.504730631035627e-05,0.0003203368561735918,0.0002991813910204261,0.0005128485108211576,0.0009604153534715611,0.0005967318260516151,0.0005727328913093726,0.00045294456832885413,0.00017181706717520192,0.00021340857769330744,0.00022082399891467432,0.00021413178631388412,0.00022245601619762912,0.0013765463821154725,0.0006904408417163374,0.0003979724936578401,0.0004672470809220376,0.0002570242463652158,0.00011322438763278236,2.3549103135630788e-05,7.625402802446537e-06,2.447101924266071e-08,,,,,,,,,
26,,2008,1019,1407,IS_HRFI__BHE,BHE,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,518.571195,,,,,,,,30.04,35.03,,,,,,,,,,,,0.2181582617087067,11.548025876957055,,,5.566455483240149e-06,3.33840870136192e-07,4.1937252609751524e-08,1.2845339915715476e-08,1.2867044083233237e-08,1.2650006655129994e-08,1.2666389530757455e-08,1.1750686283515604e-08,1.0699119196628814e-08,8.791187699909967e-09,1.6923867719727377e-08,4.1057831156295564e-08,2.5687349646266947e-08,1.7958377968021475e-07,5.60955850298971e-07,1.169921029054386e-06,2.6046107738013813e-06,4.873816348692398e-06,2.527652255150248e-05,2.8982086526334713e-05,0.00015771561775510722,0.00022257204851333114,0.00011530855125212695,0.0004773069790138001,0.00010332651926177741,0.00011118965091692448,0.0001649658460409793,0.00046842280154027997,0.00043264709648922105,0.0016005686740619908,0.0005780330405257742,0.0016996591127758046,0.000268484607053574,0.0008997932796957566,0.002444099034305197,0.0017059616485289408,0.00043313582704021986,0.0006432828781016027,0.00019989138516012585,0.0002495492550313028,0.0002327042389273666,0.0001751919402394601,0.00016272770672586095,8.647128878686103e-06,3.021150953784002e-09,,,,,,,,,
27,,2008,1019,1407,IS_HRFI__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,518.571195,,,,,,,,30.04,35.03,,,,,,,,,,,,0.24735476145225985,11.84179314417475,,,6.79607685981937e-06,2.9065478021792464e-07,2.6853079978223155e-08,1.8380307085466634e-07,1.838294844686542e-07,1.8401845185074922e-07,1.837929890912487e-07,1.842795829130374e-07,1.8418245542187266e-07,1.8304991301200263e-07,1.87668968158717e-07,2.0003693884978244e-07,2.2569593518064157e-07,3.4428170138955356e-07,7.325122953510926e-07,6.799980086549047e-07,1.2798423713770369e-06,3.53632149590863e-06,1.1992155819474854e-05,1.7654803139422335e-05,0.0001379325981612791,9.384359373998906e-05,0.00010849571885325964,0.00013890759749716857,0.00016436340316000294,0.00020226434137331494,0.00026338792351072185,0.0009057248749371166,0.0005501509008203299,0.0004998278718691546,0.0010160103341152176,0.0009763881490077377,0.00020590226447197188,0.0014131716466512707,0.002049133665876778,0.0004505858569967721,0.0004257797116967832,0.0005552153766913902,0.0011266776294530587,0.0009433494215751326,0.001716860208134282,0.00044254898997911384,0.0007314991019588706,1.1677472276487344e-05,5.030235850268429e-09,,,,,,,,,
28,,2008,1019,1407,IS_MMA1__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,214.871967,,,,,,,,33.01812,35.40311,,,,,,,,,,,,0.47530572792954845,13.0935182727725,,,3.1234869658307586e-05,1.0221419609959994e-06,3.110905943603445e-08,2.1299138839914696e-08,2.1301355332291284e-08,2.1303965694373756e-08,2.130864896552964e-08,2.1316265592953783e-08,2.1325630566294557e-08,2.1340033965438586e-08,2.1358183212713082e-08,2.1401050655999714e-08,2.1457882651166555e-08,2.1464957118590115e-08,2.1924935062814556e-08,2.1404182079581726e-08,1.928202191053948e-08,2.6422968993759688e-08,8.637451253743193e-08,2.3775769117561846e-07,4.5050855361513075e-07,1.9394824889235546e-06,1.6703895729757546e-06,1.5469253920029836e-05,1.5983622513346738e-05,4.708960152520136e-05,5.552407022106442e-05,3.540333106726158e-05,7.348283374931984e-05,0.00014407800126588248,0.0002160414081560022,0.00023386515687615384,0.0003972158104783336,0.0011656316028345992,0.002497898685595389,0.001332058352923247,0.0031260778927015226,0.002636842673862513,0.0034141377435534903,0.0006712958349114899,0.0019934218263689646,0.0012663516719336669,0.00023605849773802973,0.00013760145541908065,7.114180600222309e-09,,,,,,,,,
29,,2008,1019,1407,IS_SLTI__SHZ,SHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,280.18275,,,,,,,,32.2408,35.041,,,,,,,,,,,,0.21274626408445713,12.143033481526487,,,1.258383338476202e-07,6.886616482081948e-09,3.157652929280868e-09,6.112323604318093e-08,5.86133525106469e-08,6.222886733471603e-08,4.883077023291631e-08,3.897439242682847e-08,1.0373000224036963e-07,5.8189239175534654e-08,1.6818631907651e-07,4.39361659803124e-07,5.10095811910255e-07,3.196707159213521e-07,2.6856062937169666e-07,4.4715847977416083e-07,5.126134404310672e-07,3.382914153466873e-07,9.310654204722365e-07,1.8757479428365337e-06,3.4213772811086464e-06,3.1070393539209916e-06,1.6320260693563165e-06,3.766652397677453e-06,6.114374852835537e-06,3.0796528322916897e-06,6.6682059173642675e-06,6.765899849615083e-06,1.2081185922382177e-05,1.2291320286715369e-05,1.5328568256163268e-05,1.9890459906130944e-05,2.3789412298464923e-05,4.400675913118469e-05,2.7931107661103896e-05,7.043980440927071e-06,3.6280641987614916e-05,2.047206135748798e-05,2.8741699955130242e-05,2.8864092071127384e-05,1.2371823624782993e-05,5.854538437197407e-06,6.54801477123106e-07,2.5726124572620754e-07,6.862543706659988e-10,,,,,,,,,
30,,2008,1019,1407,IS_MMB1__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,215.53315,,,,,,,,33.01513,35.41081,,,,,,,,,,,,0.23523439924503559,15.610773157806022,,,3.113170523289201e-05,8.969459497433571e-07,3.049322962816992e-08,2.2625726308429203e-08,2.2626614145427987e-08,2.2627627626419503e-08,2.262984800715209e-08,2.2633014607383864e-08,2.263912247914619e-08,2.2651432534399794e-08,2.2594254880025773e-08,2.251997397846083e-08,2.2028149740116824e-08,2.5673646340027105e-08,3.283951592698677e-08,4.105405174025299e-08,8.17562515295159e-08,4.986275837317226e-08,9.345198151988258e-07,3.0056006278328243e-06,2.1939679365880817e-06,1.2152437234165564e-05,9.318853249307527e-06,2.8185503548036346e-05,1.722276753585796e-05,6.590065963422673e-05,6.119928759224414e-05,1.807555902075634e-05,0.0001938056877920161,0.00018723954374746596,0.00019963683528087837,0.0003775648814729977,0.0007654735262123374,0.0016950521724517485,0.0011056679205580721,0.0018788972300800202,0.0019387641842642373,0.0015175296035796657,0.005982913421232469,0.002176445389394224,0.0010257749407117456,0.0007057112874103539,0.0007069002151723158,0.00041006377853273454,4.345464800139405e-09,,,,,,,,,
31,,2008,1019,1407,IS_MMC2__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,214.47553,,,,,,,,33.02681,35.41164,,,,,,,,,,,,0.4997956732783731,16.415112257931984,,,3.2017336303900007e-05,1.0024381818452875e-06,3.6865087662443336e-08,1.0568586563057812e-08,1.0570319895881675e-08,1.0572353314800268e-08,1.0575988891895792e-08,1.0581931557738035e-08,1.0589169013567898e-08,1.0600084819623728e-08,1.061410554746107e-08,1.0635363242285745e-08,1.0646446016952448e-08,1.0714048582505143e-08,1.0591072502002696e-08,1.13246823068697e-08,1.5930371019047574e-08,7.298685607664691e-09,5.2864970528548845e-08,1.7758920557266428e-07,3.6878699859726477e-07,1.6952003349380335e-06,1.4176189596907478e-06,1.926900126128172e-05,1.9889907693639756e-05,1.3424930916831955e-05,3.6283072305889965e-05,3.8404276143069206e-05,7.131813828447415e-05,0.00018514050527234329,0.00023314529314510366,0.0005165041595448298,0.0009819838060750512,0.0006501762684213445,0.001377407540909331,0.0022004834838068752,0.0008229161580347143,0.0016709319389130214,0.0051361643234327055,0.003914265781260123,0.005678132243297374,0.0010460806261900783,0.0008125914375480268,0.0010580674301170288,5.7090078997588185e-08,,,,,,,,,
32,,2008,1019,1407,IS_MMA0B__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,215.13779,,,,,,,,33.01527,35.40305,,,,,,,,,,,,0.07595621906578284,16.415112257931984,,,2.9849912513155582e-06,1.399788388328327e-07,1.7432111081624117e-08,1.439735360277592e-08,1.5647704987785597e-08,1.3744783638721083e-08,1.5192416148734613e-08,1.5306329573085115e-08,3.917245377427539e-08,7.797239634708868e-08,3.645940806445838e-07,5.571505642514259e-07,2.0973773743022242e-06,6.0323687216464526e-06,1.3246747705619262e-05,1.1326229597286038e-05,2.2780193035635557e-05,1.1178030366100087e-05,4.478610583301541e-05,7.445209085661871e-05,3.166463868630117e-05,9.329567808442552e-05,2.872716941743991e-05,0.00014997376463984398,8.81604259744903e-05,8.41753518687102e-05,0.00016803289666731178,8.143480326690256e-05,0.00017205375627978123,0.00026325411348769275,0.0004075637677861164,0.0003356123089607897,0.0007886722523488553,0.00016810834086203164,0.00014469173949902838,0.00046184400856089406,0.000537453625063249,0.0005532821684496663,0.0008229813897888449,8.441987222881334e-05,0.00014715080105025168,0.0003657219611076692,0.00011621557526269521,1.8252302982791424e-05,2.614345325863755e-09,,,,,,,,,
33,,2008,1019,1407,IS_MBRI__SHE,SHE,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,544.113229,,,,,,,,29.79329,34.9152,,,,,,,,,,,,0.13880230159616835,12.76869862473219,,,9.0875213223149e-11,6.5843056830391735e-12,2.933277419004318e-12,6.31931234760329e-11,6.343357387028094e-11,6.328680658780152e-11,5.857129627010972e-11,5.964515067650244e-11,6.29056261572988e-11,6.475898909638684e-11,5.829776858299105e-11,6.838272375318189e-11,4.490852285632039e-11,1.0665835937330412e-10,7.589575575534988e-11,2.871370093093167e-10,2.7009914931305516e-10,4.706059031204941e-10,6.711242959888343e-10,5.440869194274919e-10,9.94049709205975e-10,6.781823905980374e-10,1.0536851429466607e-09,1.5642860436299226e-09,4.24093334225981e-09,1.560298120488226e-09,4.769399503356093e-09,1.4841746812311239e-08,2.6648744850243333e-09,1.802446511465161e-08,1.2431022103969181e-08,1.5086144476246753e-08,2.0517809608938578e-08,1.8535649916765125e-08,1.5074932730823543e-08,4.4920120542779454e-08,2.4407553245764508e-08,7.262609260215837e-09,8.918582208629768e-09,1.4794396021057693e-08,1.0351649706307513e-08,5.765065393714124e-09,2.3223199572564993e-09,5.659812084218063e-10,4.311878025873977e-13,,,,,,,,,
34,,2008,1019,1407,IS_MMC4__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,216.663077,,,,,,,,33.00722,35.41861,,,,,,,,,,,,0.14966692425061529,15.22350628750272,,,3.21088525981134e-05,1.071521466428431e-06,3.5174491622816605e-08,1.4708801123113882e-08,1.4723995182892737e-08,1.4741985519758828e-08,1.4776120438533994e-08,1.4829690323939648e-08,1.4915588721389407e-08,1.501526021084993e-08,1.5100525736370156e-08,1.4687152388315994e-08,1.668317196646345e-08,1.165163151854677e-08,8.837883109309249e-08,1.0108624669947187e-07,4.83581750804867e-07,3.388644179426367e-07,2.606130684972894e-06,5.95837657775926e-06,4.65752906419131e-06,1.6062119365983904e-05,1.2732546036968258e-05,3.20131723935875e-05,3.786670935769141e-05,6.0637032992656285e-05,6.883605082056999e-05,0.0001212610729021995,9.061827187847772e-05,0.00023033321507388878,0.00022373702571835263,0.0006409619933305064,0.0009021501380199409,0.00027662297850274934,0.0007492691039001195,0.0021877532844762197,0.0024169524415607823,0.0007774178547071757,0.0077011256804293705,0.0060100082239348375,0.0019536487901065254,0.001521623289308691,0.0006377875892823667,0.00025078741086389524,1.7458099749641762e-08,,,,,,,,,
35,,2008,1019,1407,IS_KRMI__SHZ,SHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,506.29501,,,,,,,,30.1178,34.7257,,,,,,,,,,,,0.07407192243676099,8.982775129193653,,,2.9627510155609625e-06,1.1549540245077328e-07,6.447372293327101e-07,1.4742950366670335e-05,1.6133016758219747e-05,1.859657625737963e-05,1.0473046134816907e-05,2.6629595000738172e-05,1.752326754919843e-05,4.778775351071983e-05,5.4659590293054765e-05,4.479147829174111e-05,0.00011038652356858033,0.00013375827526579116,0.00016514630983878844,0.0001827015977954593,6.578579986959545e-05,0.00014220547098803052,9.60392030323086e-05,6.682716454304513e-05,2.6753453601484796e-05,6.0872073861326177e-05,7.779059409672562e-05,5.9298334673831495e-05,9.601776140047564e-05,4.424844712762951e-05,5.3720629063490745e-05,0.0001396675922450597,0.0002196233256976679,3.697036520883047e-05,0.00016936315622281765,0.0003323674713060925,8.689175561990706e-05,0.0005149886924694334,0.000728853218469622,0.0007149078746960997,0.00040028393974806027,0.0006568490925375977,0.0016382275842265512,0.0014689042246587107,0.0002444958901305968,0.0004786389696350948,1.4571913664164688e-05,2.987000225664977e-06,5.0465692044457693e-08,,,,,,,,,
36,,2008,1019,1407,IS_MMC3__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,215.386877,,,,,,,,33.01826,35.41381,,,,,,,,,,,,0.0839850966960839,14.11840138794345,,,2.8874675092004354e-05,9.528169709244397e-07,3.0398495538266734e-08,1.3726032655274095e-08,1.3753547564261511e-08,1.3787972576795563e-08,1.3848728508569945e-08,1.4022075364805186e-08,1.4144930940131835e-08,1.450212232054645e-08,1.2767692594386243e-08,1.7991100224309552e-08,3.8038737625968094e-08,1.6803200802123404e-07,4.1104704362548845e-07,5.669306223951108e-07,1.5476619024184926e-06,7.558907183252472e-07,4.392036436618658e-06,8.336830886360795e-06,5.3912542074121365e-06,1.8271829340015274e-05,9.579122278016838e-06,3.735034908898566e-05,3.268162092704881e-05,4.309122615764066e-05,6.512849705850162e-05,8.249688700238958e-05,0.00011346268450349965,0.00017981316876582753,0.00039106922873697263,0.0003752645268092703,0.0006945156434192315,0.0016829334073379543,0.0004959660658851135,0.0021757363481743116,0.0018621357164673193,0.0037878309674002357,0.00462791109342005,0.00352561783765076,0.0008775040744778927,0.0005913575337508719,0.0012638434846646157,6.885482202402882e-05,1.2378613639832739e-08,,,,,,,,,
37,,2008,1019,1407,IS_PRNI__SHE,SHE,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,484.011364,,,,,,,,30.3522,35.0052,,,,,,,,,,,,0.20232171529551018,14.11840138794345,,,3.4431411533106085e-06,1.9385103782731493e-07,7.71901671891372e-08,1.5626022816442096e-06,1.577828653484749e-06,1.5833878051186715e-06,1.5617488303412866e-06,1.5487846599679474e-06,1.6243269421509772e-06,1.6879411365694506e-06,1.6903543721139372e-06,1.4423277728094563e-06,1.6653571609994572e-06,2.036665362251631e-06,3.8994928775353e-06,1.3363803894297207e-06,7.24564442531118e-06,2.4652266035606397e-05,5.689603893363539e-05,0.00011301907162535803,6.487047271109246e-05,0.0002818898304934017,0.00023029403451077935,0.0006108613801237459,0.00047746345441538154,0.0009188715091168354,0.00033545777183039105,0.0011218866685693296,0.00044495922167069523,0.0002800748128022485,0.0007712967353345664,0.0003381595901594638,0.0001833827784637267,0.00039406941799743824,0.0003132076917530452,0.00035926488604951125,0.0005744960644206036,0.0013516794365669611,0.00017335599294578466,0.00043445688878317667,0.0005052192059908779,0.0003594082971623041,0.0003755304999522866,1.8777868838301804e-05,1.3629643101956304e-08,,,,,,,,,
38,,2008,1019,1407,IS_MBRI__SHN,SHN,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,544.113229,,,,,,,,29.79329,34.9152,,,,,,,,,,,,0.18763477559595848,11.548025876957055,,,1.1588688957955298e-10,7.820223868044915e-12,4.659197608505158e-12,1.0080920517236561e-10,1.0120404889452668e-10,1.0201073980782505e-10,1.0132758189917225e-10,9.814678271956003e-11,1.061969134633076e-10,1.1003686497207842e-10,1.0560144683208894e-10,9.885287516577909e-11,1.295139766281012e-10,1.1545943196406887e-10,1.7603347714970927e-10,1.6644112806266496e-10,2.3553368560875255e-10,2.0311766974626189e-10,6.454711783671694e-10,5.698291826391511e-10,8.028858630783903e-10,3.280777148245084e-09,1.8994414447625474e-09,8.244399401093512e-09,5.088730223702633e-09,6.837544576893387e-09,1.2017310636109603e-08,1.4711592440317139e-08,7.2269434792758394e-09,2.2279828983929366e-08,3.085783979394374e-08,9.718109822729575e-09,9.809717095219949e-09,8.185792008682062e-09,3.950950349723198e-08,3.1699716634490564e-08,1.924425577445396e-08,7.1096496358814816e-09,2.1819988988216494e-08,6.385178913209058e-09,1.831193624108172e-08,2.4259019213314915e-09,3.869781881174249e-10,1.5985068749527851e-10,1.0372076758159453e-12,,,,,,,,,
39,,2008,1019,1407,IS_MMC7__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,213.983216,,,,,,,,33.02205,35.39256,,,,,,,,,,,,0.28045867955622106,15.610773157806022,,,1.1901878026521542e-05,3.384219567314517e-07,1.4216449142279187e-08,6.4863865717410355e-09,6.4887232977639485e-09,6.491575064940545e-09,6.496597116932533e-09,6.5059869386272745e-09,6.5150141990921506e-09,6.531073259700057e-09,6.559637477971899e-09,6.593729828644181e-09,6.596941350749827e-09,7.874266430440795e-09,1.2937296960982378e-08,1.6787367226807165e-08,4.9756462474590424e-08,4.56124528326308e-08,4.713748973634295e-07,1.9581382013517524e-06,3.0265247638402744e-06,9.244862185942553e-06,8.171004218039041e-06,5.008177819858879e-05,3.8873057452939025e-05,3.1612154856355476e-05,5.364583416463718e-05,6.307362895403929e-05,6.127888745486317e-05,0.0003163766868668623,0.0002742997778232836,0.00018516139737548051,0.0003560334144269466,0.0012585830822395582,0.0011302701406759447,0.0005879324046803444,0.0013422978388478504,0.001292112153766063,0.0031819546353713596,0.0013252866474643538,0.0023328711806630538,0.001567932553042474,0.00041769792661250333,0.0001277312150188888,1.9270951775236597e-08,,,,,,,,,
40,,2008,1019,1407,IS_MMLI__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,272.429109,,,,,,,,32.438,35.422,,,,,,,,,,,,0.16138196526315954,13.768156780330239,,,2.84180644771065e-05,1.0148550613892434e-06,1.0890032850220852e-07,3.1552682314096847e-09,3.4048194361721343e-09,3.3711099561875587e-09,3.159528855989895e-09,9.726558018741977e-09,1.4560070770691492e-08,2.339040152596911e-08,5.917431648498375e-08,1.6852807428140599e-07,4.941663714161231e-07,1.9302793061893043e-06,4.13013054994167e-06,1.367069392921137e-05,1.493318470173871e-05,3.8873881343885567e-05,8.191614964648907e-05,0.00026472907459179423,0.0004208196137776178,0.0003979797247622795,0.0003749818563688772,0.00024502897873325406,0.0013979849868729092,0.0007009334531984391,0.00027014838810547154,0.0015739965726854228,0.0009906999203806574,0.0013928922164469855,0.002805503351887087,0.004254498754224952,0.004166277979115602,0.0025183158013197962,0.0026999997010603355,0.0018613739813299747,0.0032231875133693667,0.002299548516866088,0.002585371485480791,0.007606972095363451,0.004455873222171559,0.0029173521973106815,0.0005585669748038985,0.0004293760803652599,1.2396251945280288e-08,,,,,,,,,
41,,2008,1019,1407,IS_OFRI__SHZ,SHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,238.337306,,,,,,,,32.6217,34.9862,,,,,,,,,,,,0.24735476145225985,13.768156780330239,,,6.979795963339845e-06,4.3376438655673614e-07,2.9690706939532307e-08,5.44444516865106e-08,5.4409849073483804e-08,5.436415501188218e-08,5.4290108844603736e-08,5.417635862777105e-08,5.3988446872728985e-08,5.367920153623922e-08,5.352098891680884e-08,5.395668055769174e-08,5.215106355599802e-08,5.300491986227213e-08,5.296166106234718e-08,6.18664575091494e-08,8.157032127259504e-08,7.15234102301109e-08,1.2563098554111278e-06,3.985128705340699e-06,1.601997536640571e-05,1.4989375820229168e-05,3.668438163656647e-05,6.624546546146806e-05,0.0002014530678738412,0.00016650450462327043,0.00043960275572107647,0.0004461238717363841,0.0007856373778816609,0.0006891320762923668,0.000966903955945405,0.0010999427659668963,0.001081598249542548,0.001253517491975666,0.00253833874968459,0.0006870521377433747,0.0008690027276360974,0.0011911833614020207,0.000344597010747878,0.00032246417710643944,0.00012895419940947502,0.00027617314811559433,0.00018647532260433565,2.005047335032161e-05,3.1302114806014675e-09,,,,,,,,,
