Record Sequence Number,EQID,YEAR,MODY,HRMN,Station Name,Component,Station Sequence Number,Station ID  No.,Station Type,Station Network,Earthquake Magnitude,Magnitude Type,Mo (dyne.cm),Strike (deg),Dip (deg),Rake Angle (deg),Mechanism,Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Finite Rupture Model: 1=Yes;  0=No,Depth to Top Of Fault Rupture Model,Fault Rupture Width (km),Fault Rupture Area (km^2),Fault Name,Slip Rate (mm/Yr),EpiD      (km),HypD           (km),Joyner-Boore Dist. (km),FW/HW Indicator,Source to Site Azimuth (deg),Vs30 (m/s) selected for analysis,Preferred NEHRP Based on Vs30,Surface Geological Unit,Station Latitude,Station Longitude,Depth to Top Judea (km),Depth to Vs=1100,File Name (Horizontal 1),File Name (Horizontal 2),File Name (Vertical),H1 azimth (degrees),H2 azimith (degrees),Type of Recording,Instrument Model,Type of Filter,npass,HP (Hz),LP (Hz),Factor,Lowest Usable Freq - V (Hz),PGA (g),PGV (cm/sec),PGD (cm),f 0.01 Hz,0.012,0.014,0.017,0.021,0.025,0.030,0.036,0.044,0.052,0.063,0.076,0.091,0.110,0.130,0.160,0.190,0.230,0.280,0.330,0.400,0.480,0.580,0.690,0.830,1.00,1.20,1.450,1.740,2.090,2.510,3.020,3.630,4.370,5.250,6.310,7.590,9.120,10.970,13.180,15.850,19.060,22.910,27.540,33.110,39.810,47.860,57.540,69.180,83.180,100.00
11,,2008,1019,1407,IS_EIL__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,557.989856,,,,,,,,29.6712,34.952,,,,,,,,,,,,0.35160608575313845,10.444048025110865,,,3.876492813819804e-05,2.5550160098963824e-06,2.6815371249911924e-07,2.9694874424151585e-07,2.9744984729627157e-07,2.984006381837097e-07,2.983415329329126e-07,3.018422589763208e-07,3.0422748265936056e-07,3.106719473250377e-07,3.124162434225067e-07,3.7293783921854895e-07,4.3394274448643443e-07,3.454631883026368e-07,1.5275379487268781e-06,2.654301026268894e-06,3.818183397019643e-06,1.7184437090925103e-05,4.0996791357400086e-05,9.890629271551123e-05,0.00033323900782782794,0.0004570724524628903,0.0009793964331048246,0.0006913080835617539,0.0014253543308295005,0.0027538503155460884,0.002007586169649465,0.003921808415894768,0.005347428579138197,0.004309669418526138,0.006385495946335594,0.014529502196199098,0.006652118523042741,0.0078020866250462844,0.01442851447658873,0.017432128851065622,0.0054278297468149704,0.006599067391913148,0.0003818959192236723,0.002252830086571955,0.0014969963454331615,0.00032190547450728214,0.00023744398524599197,3.7869563196800366e-05,2.025179964294691e-08,,,,,,,,,
12,,2008,1019,1407,IS_EIL__BHE,BHE,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,557.989856,,,,,,,,29.6712,34.952,,,,,,,,,,,,0.20232171529551018,11.84179314417475,,,3.517126686373424e-05,2.2385079577800587e-06,3.351163896296741e-07,1.2578289272494678e-06,1.264386538196988e-06,1.2627510817510532e-06,1.2734890769420429e-06,1.2689061231942872e-06,1.2928346898557702e-06,1.3521660719150181e-06,1.5494725129760536e-06,1.7063089716579912e-06,1.7742529024614603e-06,5.421182809724934e-06,5.178490960426844e-06,4.936816154484066e-05,0.00010103486071370981,7.642127011869725e-05,0.00035346034564803823,0.0006345635213538735,0.0010656936192237354,0.0025814518686319964,0.0031972084550632345,0.00429632766242631,0.001156622128901412,0.0003386969055644109,0.003211315160553379,0.002046028724368039,0.004159113104606835,0.004927324784240206,0.005938192752904323,0.011302432549527014,0.01356030025774738,0.0033930786698736087,0.004333554472583202,0.0027840144900900055,0.004027168621675973,0.0027820988086652548,0.0016802399796730129,0.0018652788611830525,0.0021935239801503434,0.0012430613616859598,0.00021661319835820193,3.517264089738537e-05,2.935166863996722e-08,,,,,,,,,
13,,2008,1019,1407,IS_MZDA__SHN,SHN,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,387.738314,,,,,,,,31.3106,35.3629,,,,,,,,,,,,0.2536471557609793,9.445609172774422,,,4.3952581923285294e-08,2.2140797040830472e-09,2.5161264516429543e-08,5.830577251073555e-07,5.81445506945813e-07,5.841328853380617e-07,5.84542254227199e-07,5.931791021222298e-07,5.702816109070033e-07,5.836800069862829e-07,6.838526330944475e-07,5.770903212285709e-07,7.376830093428383e-07,3.822561458477798e-07,5.449537540311821e-07,5.310058515383209e-07,5.115858918401045e-07,7.022421382977344e-07,8.327266102667841e-07,5.845122227469321e-07,5.585844885513346e-07,8.262408107001488e-07,4.535582530421099e-07,1.1216007399209931e-06,5.968596366250991e-07,7.83214616403146e-07,7.655430849228612e-07,2.799104115082189e-06,3.5184037968901413e-06,3.73259690963322e-06,4.727064605460306e-06,3.742493159280881e-06,3.7069158443023437e-06,6.30795331164284e-06,2.283133002285082e-06,1.4848762833915128e-06,8.055912614490405e-06,1.4558236602242605e-05,1.3695207032029699e-05,3.6943335144216125e-06,5.850843877325442e-06,2.7339313062060467e-06,3.574682855873516e-07,1.5835653299031526e-07,7.657062455823717e-09,,,,,,,,,
14,,2008,1019,1407,IS_MMA0__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,215.149228,,,,,,,,33.01518,35.40311,,,,,,,,,,,,0.2536471557609793,13.426600924495034,,,1.547220827562919e-05,4.685441963187642e-07,1.9452262338296656e-08,2.15910130222088e-09,2.1500317235628717e-09,2.1394602789290323e-09,2.120378009294423e-09,2.089939538413301e-09,2.0528603323522063e-09,2.003904762873973e-09,1.8950273255457603e-09,1.8912905839878147e-09,1.9914038065447832e-09,2.5001270177847405e-09,9.052042137817568e-09,1.7054691492038812e-08,7.114278955242551e-08,7.069198844921097e-08,7.573148660847102e-07,2.540441770565169e-06,3.0705255540298764e-06,1.1223625258267837e-05,5.025353459052012e-06,3.484172493880778e-05,2.743088297412078e-05,3.547752538381214e-05,7.19867316034965e-05,6.703155559554391e-05,0.00013490468188987996,0.0002392585109995994,0.00043955602714238623,0.00042139344157753164,0.001240749453895468,0.0003174470611745022,0.0004766720373052323,0.001259820749923577,0.0020157759366968954,0.002803028386712698,0.005128814452871173,0.002427663119466644,0.0004268524316752211,0.001739181388514251,0.0007869842427260026,7.318482939415249e-05,5.525391408291963e-09,,,,,,,,,
15,,2008,1019,1407,IS_DSI__SHE,SHE,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,358.639287,,,,,,,,31.5933,35.3922,,,,,,,,,,,,0.17401399034959145,14.84584660496123,,,3.29273161217205e-05,1.4344154224347194e-06,1.1261597842709359e-07,9.191489479328956e-07,1.0102544658368651e-06,8.293342732487733e-07,6.025799418725054e-07,5.320958401767149e-07,9.948926751715638e-07,8.08915167085532e-07,4.847189372345042e-06,4.610935337897159e-06,9.441611719952236e-06,6.41127859770281e-06,1.0162220805196225e-05,3.334122407106386e-05,4.2868415703659325e-05,5.5169186860605304e-05,8.175539197184953e-05,0.00014944182326708048,0.00012009394723867711,0.0003760030674121259,0.000788871545505398,0.0015710122468116765,0.000510630002298886,0.001798511516716292,0.0007525987762578403,0.001978147750242129,0.00204272243696292,0.0029600580159403274,0.0010502810374063924,0.004707819129991998,0.0006217850495248707,0.0032510358786810726,0.004632277908095729,0.003151394304423104,0.0025901704121407197,0.005178759154617891,0.0014669426329596258,0.004187221301568815,0.004235554700984114,0.004835418634922651,0.0016246801787349377,0.00010179565082267224,9.151404721851113e-09,,,,,,,,,
16,,2008,1019,1407,IS_MZDA__SHE,SHE,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,387.738314,,,,,,,,31.3106,35.3629,,,,,,,,,,,,0.1423332577316923,8.982775129193653,,,5.0137703642334297e-08,2.277763052098292e-09,1.9511513644309194e-08,4.1345789802645363e-07,4.2680264854696465e-07,4.080195698008944e-07,4.4245853740195074e-07,2.524475658943484e-07,4.6950306567657886e-07,2.9865122464276374e-07,5.024792399780917e-07,1.3639424965659025e-06,1.8494658442772115e-06,1.5812698833279543e-06,1.8789429039499976e-06,1.1688178202345023e-06,1.967471803923622e-06,5.45341768467973e-07,1.5528843964038807e-06,1.23904263438395e-06,1.3768818646278057e-06,3.652351051336787e-07,2.2457614916294497e-07,2.9504452618287196e-06,1.753537479164631e-06,9.901983998193609e-07,1.6637619903412304e-06,2.810630359247843e-06,4.819411379036436e-06,2.7102494234869323e-06,7.804546430532822e-06,6.556472513549345e-06,1.0703529485516296e-05,5.74231082435993e-06,8.478188570529292e-06,1.4820119210332041e-05,1.4106534945740201e-05,1.529830197675721e-05,1.0851928366729721e-05,7.737480288989827e-06,1.909905560952359e-06,1.707653035762166e-06,2.1628157736225957e-06,1.713821745398463e-07,2.8476739563197583e-09,,,,,,,,,
17,,2008,1019,1407,IS_EIL__BHN,BHN,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,557.989856,,,,,,,,29.6712,34.952,,,,,,,,,,,,0.14595403695435244,13.768156780330239,,,4.347289214019643e-05,2.7945621602654435e-06,4.1107998994439797e-07,3.706547964961906e-06,3.7153150462696436e-06,3.764710787730081e-06,3.6573016346862148e-06,3.818900473228993e-06,3.996358495338872e-06,3.633148308532773e-06,3.4234474714499973e-06,3.573650588102331e-06,1.0022372458263955e-05,1.6701324747202374e-05,5.623541782234292e-05,7.101860340590699e-05,0.00017806912435670808,0.0005542095858147289,0.0006231494309757483,0.0012594691246185664,0.0012632965885612264,0.002493355774469587,0.002697590556160964,0.004320748040170449,0.0058417324258133434,0.0011554295346206485,0.002907451244821675,0.0063133545349541844,0.004837758414166642,0.003948996963290567,0.01111428752090648,0.006217631473772112,0.006029029529620754,0.004484539757574366,0.008157534021365206,0.008600178504479796,0.004752527451227787,0.004862497350158949,0.0028510611232278856,0.0033340089222664527,0.0015780161359725772,0.0021136519917156478,0.0008354185970355832,0.0001310538649680673,1.5219723176495704e-08,,,,,,,,,
18,,2008,1019,1407,IS_DSI__SHN,SHN,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,358.639287,,,,,,,,31.5933,35.3922,,,,,,,,,,,,0.22939878247817763,13.768156780330239,,,8.53221911951743e-05,4.024565739156066e-06,3.159900046399542e-07,4.658476748049395e-06,4.7202287080483144e-06,4.657821585448352e-06,4.5904621348257415e-06,4.766168949330957e-06,4.4933991978667065e-06,5.13898346682219e-06,4.223137765435543e-06,3.6303590895507566e-06,3.278657295492084e-06,5.6682123131196174e-06,7.721243063816991e-06,1.8315407647183245e-05,5.536298065194681e-06,4.351682618792829e-05,4.260927962778388e-05,2.6586463167445524e-05,0.0002576088204102391,0.0005228589236056444,0.00031035420294068297,0.0007603330006401755,0.002387739492549799,0.0021064422383230575,0.0019297800021366176,0.0036590557376630804,0.007275811239837344,0.004248755352924241,0.006034207954916345,0.005119525756083739,0.014911166371460706,0.00723547356174512,0.009085569531889527,0.011130686866947896,0.02374886193902103,0.0008283392684855233,0.01257185404082933,0.005885846668408913,0.008431611059729133,0.0036707818122832182,0.001559495739177633,0.0002902952826790467,5.6094225218444604e-08,,,,,,,,,
19,,2008,1019,1407,IS_MMB4__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,214.560425,,,,,,,,33.02084,35.40199,,,,,,,,,,,,0.452015787813371,16.007891610655562,,,3.517119582337548e-05,1.0168926995704723e-06,3.376968591828659e-08,1.3562195831989545e-08,1.3562032962650087e-08,1.3561829540300275e-08,1.356148203342979e-08,1.356088087049489e-08,1.3560613354071055e-08,1.3559437304438024e-08,1.3558389194518204e-08,1.3565443487209052e-08,1.3553378477685935e-08,1.370445489325836e-08,1.4436497168672887e-08,1.3340371136786522e-08,1.4423818317471473e-08,1.0512273837337715e-08,7.98083432658614e-08,2.6082861964016575e-07,4.3267848729882893e-07,2.37098959596528e-06,1.6698238173314946e-06,2.2520361328256697e-05,2.6986215064630617e-05,4.633312446909206e-05,5.678923887773923e-05,6.34733388002849e-05,1.4019314979058483e-05,0.0003510896628569417,8.29002939682934e-05,0.0007380944515233589,0.0005443561074047555,0.0009268449406461132,0.0007387253828233635,0.0005730859627508671,0.0022795542832578135,0.00371608813531643,0.00815892420314307,0.0017184920220874199,0.00272953469294635,0.0015666218597120607,0.0012422708223610898,0.00015764910441222078,7.707840815726094e-09,,,,,,,,,
20,,2008,1019,1407,IS_MMA3__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,215.572735,,,,,,,,33.01205,35.40572,,,,,,,,,,,,0.5810999317457595,15.22350628750272,,,4.659006849321392e-05,1.624957414230057e-06,8.415130367775651e-08,9.358878494192222e-07,9.359385987107811e-07,9.359984997082364e-07,9.36104881070996e-07,9.362799602587696e-07,9.364914772299959e-07,9.368089122397458e-07,9.372689968687776e-07,9.380295213642519e-07,9.389706464227657e-07,9.402817667017205e-07,9.4313754237519e-07,9.462610663142132e-07,9.502945817227923e-07,9.59478768908673e-07,9.937439350789082e-07,1.0511286260416042e-06,1.1194859178414856e-06,1.8315660619913045e-06,1.655616955421814e-06,9.369365802575826e-06,3.351595433050872e-05,2.3924988190598696e-05,0.0001869324144263793,0.00032021427389596313,8.98854286213214e-05,0.0005403553895555933,0.0009800784816535125,0.0005239397924512135,0.002135481859275903,0.003207550740759849,0.002381918581816334,0.0033046538197299695,0.004148801187641374,0.0032452905583670788,0.005617478945706305,0.011248069660003067,0.0003349161095795367,0.006449401019166157,0.0033151096644218046,0.00029358558106261015,5.763181889416341e-08,,,,,,,,,
