Date,Time(UTC),Millisecond,Md,Mb,Mw,Lat,Long,Depth(Km),Region,Type,Mw1,Mo,Mw2
12/1/2008,22:46:13,357,3.2,0,0,28.3361,33.5834,15,Suez,EQ,3,13.5756,3
12/14/2008,2:59:08,319,3.3,0,0,27.5639,34.7246,0,Red-Sea,EQ,3.1,13.6791,3.1
12/28/2008,9:36:34,234,3.3,0,0,28.4185,34.012,5,Sinai,EQ,3.1,13.6791,3.1
1/12/2009,2:04:36,623,4,4.2,0,34.1329,33.3101,10,E.Mediter.Sea,EQ,3.7,14.51,3.6
1/21/2009,6:40:59,175,3.6,0,0,32.5114,34.4565,10,E.Mediter.Sea,F,3.4,14.0124,3.3
1/22/2009,4:43:06,578,3.2,0,0,35.9126,35.7503,0,E.Mediter.Sea,EQ,3,13.5756,3
1/27/2009,17:31:52,861,3.5,0,0,27.9063,35.4756,10,Saudi-Arabia,EQ,3.3,13.8975,3.2
2/3/2009,14:04:03,98,3.6,0,0,27.1724,33.5117,0,Egypt,EQ,3.4,14.0124,3.3
3/3/2009,7:47:49,402,3.1,0,0,35.5508,32.0572,1,E.Mediter.Sea,EQ,2.9,13.4759,2.9
3/4/2009,3:08:07,486,3.1,0,0,34.4296,37.5855,14,Palmira,EQ,2.9,13.4759,2.9
3/9/2009,17:24:57,534,3.5,0,0,33.1588,35.7391,2,Hula-Kinneret,F,3.3,13.8975,3.2
4/15/2009,7:37:28,541,3.2,0,0,34.3498,32.2628,30,E.Mediter.Sea,EQ,3,13.5756,3
4/17/2009,11:03:58,280,4.2,4.3,0,33.3364,35.4331,0,Lebanon,F,3.9,14.7816,3.8
4/17/2009,19:06:34,747,3,0,0,33.2656,35.471,0,Lebanon,EQ,2.8,13.38,2.9
4/21/2009,13:18:28,760,3.3,0,0,31.4821,35.559,10,Dead-Sea-Basin,EQ,3.1,13.6791,3.1
5/6/2009,6:49:06,66,3.5,4,0,34.0989,35.7099,11,Lebanon,EQ,3.3,13.8975,3.2
5/10/2009,6:57:17,611,3,0,0,28.3226,34.8479,13,Saudi-Arabia,EQ,2.8,13.38,2.9
5/10/2009,13:29:20,31,3.7,0,0,28.217,34.8642,14,Saudi-Arabia,EQ,3.4,14.1311,3.4
5/10/2009,17:28:27,868,3.8,4.1,0,28.4331,35.1724,7,Saudi-Arabia,EQ,3.5,14.2536,3.4
6/13/2009,18:45:40,716,3.1,0,0,32.7784,35.375,11,Galilee,F,2.9,13.4759,2.9
6/16/2009,4:02:10,605,3.9,4.1,0,27.26,34.64,20,Red-Sea,EQ,3.6,14.3799,3.5
7/10/2009,10:05:21,322,3.3,0,0,34.4643,32.8251,15,E.Mediter.Sea,EQ,3.1,13.6791,3.1
7/10/2009,18:19:17,851,3.6,0,0,33.2589,35.3974,6,Lebanon,F,3.4,14.0124,3.3
7/23/2009,12:37:11,543,3.2,0,0,28.3302,34.8597,7,Saudi-Arabia,EQ,3,13.5756,3
7/24/2009,9:48:39,425,3.5,0,0,28.2135,34.6834,0,Arnona-Dakar-Deep,EQ,3.3,13.8975,3.2
7/24/2009,18:29:52,961,3.3,0,0,28.426,33.1901,14,Suez,EQ,3.1,13.6791,3.1
8/14/2009,18:17:34,436,3.1,0,0,29.9412,34.3838,8,East-Sinai,EQ,2.9,13.4759,2.9
8/25/2009,6:28:36,848,4.2,4.3,0,34.6933,33.0541,10,Cyprus,EQ,3.9,14.7816,3.8
8/26/2009,12:18:00,125,3.1,0,0,32.0932,35.3919,2,E.Shomron,F,2.9,13.4759,2.9
9/16/2009,14:09:42,650,4.6,4.6,0,34.6847,33.2482,0,Cyprus,EQ,4.3,15.3704,4.2
9/16/2009,14:48:22,652,3.1,0,0,34.6577,33.2449,0,Cyprus,EQ,2.9,13.4759,2.9
10/4/2009,20:58:18,113,3,0,0,34.2449,36.7523,4,Palmira,EQ,2.8,13.38,2.9
11/4/2009,0:17:56,688,3.2,0,0,28.6566,34.6613,0,Arnona-Dakar-Deep,EQ,3,13.5756,3
11/20/2009,1:52:54,199,3.5,0,0,27.5823,34.9814,13,Red-Sea,EQ,3.3,13.8975,3.2
11/22/2009,7:51:09,406,3.2,0,0,34.8866,33.1656,29,Cyprus,EQ,3,13.5756,3
12/26/2009,20:22:53,403,3.2,0,0,34.9895,34.0003,10,Cyprus,EQ,3,13.5756,3
12/29/2009,6:28:42,685,3.9,4.1,0,28.8208,34.6294,1,Aragonese-Deep,EQ,3.6,14.3799,3.5
1/17/2010,22:16:05,440,3.2,0,0,34.4601,32.2894,10,E.Mediter.Sea,EQ,3,13.5756,3
1/20/2010,23:06:29,311,3,0,0,34.92,34.09,10,Cyprus,EQ,2.8,13.38,2.9
2/4/2010,23:42:55,942,3.9,4.1,0,35.6994,32.0099,7,E.Mediter.Sea,EQ,3.6,14.3799,3.5
