Record Sequence Number,EQID,YEAR,MODY,HRMN,Station Name,Station Sequence Number,Station ID  No.,Station Type,Station Network,Earthquake Magnitude,Magnitude Type,Mo (dyne.cm),Strike (deg),Dip (deg),Rake Angle (deg),Mechanism,Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Finite Rupture Model: 1=Yes;  0=No,Depth to Top Of Fault Rupture Model,Fault Rupture Width (km),Fault Rupture Area (km^2),Fault Name,Slip Rate (mm/Yr),EpiD      (km),HypD           (km),Joyner-Boore Dist. (km),FW/HW Indicator,Source to Site Azimuth (deg),Vs30 (m/s) selected for analysis,Preferred NEHRP Based on Vs30,Surface Geological Unit,Station Latitude,Station Longitude,Depth to Top Judea (km),Depth to Vs=1100,File Name (Horizontal 1),File Name (Horizontal 2),File Name (Vertical),H1 azimth (degrees),H2 azimith (degrees),Type of Recording,Instrument Model,Type of Filter,npass,HP (Hz),LP (Hz),Factor,Lowest Usable Freq - V (Hz),PGA (g),PGV (cm/sec),PGD (cm),f 0.01 Hz,0.012,0.014,0.017,0.021,0.025,0.030,0.036,0.044,0.052,0.063,0.076,0.091,0.110,0.130,0.160,0.190,0.230,0.280,0.330,0.400,0.480,0.580,0.690,0.830,1.00,1.20,1.450,1.740,2.090,2.510,3.020,3.630,4.370,5.250,6.310,7.590,9.120,10.970,13.180,15.850,19.060,22.910,27.540,33.110,39.810,47.860,57.540,69.180,83.180,100.00
425,,2008,0330,0302,IS_MBRI__SHE,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,385.906647,,,,,,,,29.79329,34.9152,,,,,,,,,,,,0.22939878247817763,10.184955554091268,,,2.4006855979298738e-10,1.3196580683905064e-12,1.771408451572093e-12,9.0146768700002695e-15,9.0342178165471936e-15,9.0471817365932278e-15,9.0220894146558712e-15,9.0468491650616937e-15,9.0218928087685856e-15,9.5077201750053183e-15,9.3626939452971789e-15,9.4529058377752694e-15,9.5134654249297776e-15,9.6402816620709037e-15,8.6105006607801239e-15,9.9671513261454576e-15,8.468214123925609e-15,1.3593115136598681e-14,2.0157146211946209e-14,4.9233670278555757e-14,5.313811320418865e-14,3.8244543190021502e-14,1.0266318381537188e-13,7.9148540932271003e-14,2.7820824350455736e-13,4.6339569845927561e-13,2.314855855813338e-13,1.185260359612134e-13,2.2493796840051166e-13,4.756956105227051e-13,2.9153092507665522e-13,3.6731678418898529e-13,1.0973031360042409e-12,4.7275984830709401e-13,5.2979407972260135e-13,4.8211497092289603e-13,5.1334576655009729e-14,9.1544153683308044e-13,5.5260588087807553e-13,2.6730830753484523e-13,1.7824662506215542e-13,9.5172158239381447e-14,1.7672382071902071e-14,5.8961734523741107e-15,7.826604954581139e-16,,,,,,,,,
426,,2008,0330,0302,IS_KRMI__SHZ,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,353.143291,,,,,,,,30.1178,34.7257,,,,,,,,,,,,0.80552163819679967,12.76869862473219,,,1.5811253422996043e-05,4.2428803425647055e-08,1.5045724513846925e-08,1.0787238345765428e-10,1.0787603854276383e-10,1.0787925276862076e-10,1.0787104002893243e-10,1.079392455337038e-10,1.0792652246978801e-10,1.0821563948924127e-10,1.0829680801172964e-10,1.0833719066383017e-10,1.0778033231903263e-10,1.0781660484650786e-10,1.0905158965334222e-10,1.1074213912916792e-10,1.1210105199323605e-10,1.082387611403916e-10,1.1740995489016416e-10,1.2070803510965876e-10,1.2584484986793156e-10,5.9159443662761587e-11,1.0491992335130544e-10,2.4112369988412371e-10,1.4856153327656537e-09,1.1353813456406871e-09,2.5848693398605435e-09,1.944262666218441e-09,1.4817290108897375e-09,3.6219090706317622e-09,7.1347863749153149e-09,1.0933996157797754e-08,5.456695318725446e-09,1.0486152886408327e-08,3.0573533437339886e-08,2.547021071874679e-08,1.3118873902439464e-08,1.3496690583605703e-08,2.670580949974158e-08,3.0483911645131922e-08,6.2486810536091117e-08,1.277538205623316e-08,1.0301152694992574e-08,1.4438604578209511e-09,5.3680835015628007e-11,,,,,,,,,
427,,2008,0330,0302,IS_PRNI__SHE,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,323.354351,,,,,,,,30.3522,35.0052,,,,,,,,,,,,0.23523439924503559,14.11840138794345,,,2.4238793668446265e-05,1.3524997802937518e-07,1.7860648514839232e-08,4.5099960934873192e-10,4.5153223859626529e-10,4.5255278266974712e-10,4.5269675649146989e-10,4.5379485416422887e-10,4.4953064116639384e-10,4.4403378987959336e-10,4.5986836225083581e-10,4.265901754421262e-10,4.2982173033937295e-10,3.721344815800745e-10,3.814676445566168e-10,5.3331572914484133e-10,4.0836536132932041e-10,4.2058356552060315e-10,5.4070492041396626e-09,4.4715571574479224e-09,1.110284797748489e-08,1.0152451317691058e-08,1.7607106125220938e-08,2.2260264499465895e-08,4.1784620829875333e-08,5.5752929893436102e-08,5.032160719030891e-08,6.5105374862758319e-08,8.0260558345512959e-09,1.8236815544566409e-08,1.9323504848533538e-08,2.2125559540632871e-08,2.4740321181783135e-08,3.2603072371105622e-08,5.5915292813976575e-08,7.9377758014786131e-08,6.7122022635599029e-08,1.397344046861333e-08,2.7730433889219575e-08,2.7513354188266443e-08,1.295430575808293e-08,1.7892217207814573e-08,1.658557500403084e-09,1.0486547809215695e-09,1.7391898353481962e-11,,,,,,,,,
428,,2008,0330,0302,IS_MBRI__SHN,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,385.906647,,,,,,,,29.79329,34.9152,,,,,,,,,,,,0.24121846676948538,6.8140228459702161,,,2.3806054695689835e-10,1.328836712198725e-12,2.6002156436977415e-13,1.658902107461928e-15,1.6662191773280684e-15,1.6747552035055463e-15,1.6897168408758537e-15,1.7142064637040671e-15,1.7432277951445317e-15,1.7865819525328355e-15,1.8476498274858597e-15,1.9432293699320159e-15,2.0521091519095994e-15,2.2434457645528939e-15,2.431564618367631e-15,3.0188397924215596e-15,3.0121625849105774e-15,5.7599855470065947e-15,9.129832147730313e-15,2.8022195257882157e-14,9.3781703534948625e-14,1.4337976597696798e-13,1.3123476422010382e-13,1.133662381500924e-13,4.285053163186553e-13,3.9530117961475285e-13,1.7699741843787152e-13,4.0707336433177917e-13,1.910130783643541e-13,6.224498626798966e-13,5.1693194125567484e-13,2.0092372620073808e-13,8.7601730408280416e-13,3.5714597513483761e-13,5.6422872847193268e-13,5.1855149555122153e-13,6.9716655165540144e-13,2.6396002890899984e-13,2.246168696161524e-13,1.1565555358221915e-13,8.6844166973359725e-14,2.4816147937436889e-15,7.7494355431138752e-16,3.5403336868647707e-16,3.3508352988704677e-16,,,,,,,,,
429,,2008,0330,0302,IS_MMLI__BHZ,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,89.675089,,,,,,,,32.438,35.422,,,,,,,,,,,,0.24121846676948538,17.699990091094229,,,0.00043842063318323541,1.1442787821850781e-06,4.8049794985021712e-08,2.703892295054679e-11,2.6242659597125607e-11,2.5446396243704421e-11,2.3916707077956799e-11,2.1519972298730818e-11,1.8670706035435841e-11,1.4472559132688333e-11,9.1461123700820908e-12,8.3695882671744916e-12,1.9646543048084797e-11,3.772073883085352e-11,6.1555371759094305e-11,1.3166378080945385e-10,1.6924216747313448e-10,9.6796061815218181e-10,9.2144490256694872e-09,9.4109577443446832e-09,1.3447554536646989e-08,9.7986111265297608e-09,1.3981602340263466e-08,3.0935632525843475e-08,1.0470527803055516e-07,6.9150761680525594e-08,4.7227150426404047e-08,2.8486214245529712e-08,8.7309270664207005e-08,1.8485450069531511e-07,5.9801619286444311e-08,1.1918673370497147e-07,6.254268601528616e-07,1.3081123718315862e-07,2.5274378900090712e-07,7.5906088346579194e-07,3.4831304554416182e-07,4.8781945398658603e-07,6.5316964880020882e-07,4.2286968296986266e-07,3.6564155253637292e-07,1.3155860068381353e-06,7.276571724993579e-07,4.0022436659798422e-07,7.1880531325424593e-11,,,,,,,,,
430,,2008,0330,0302,IS_KRMI__SHN,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,353.143291,,,,,,,,30.1178,34.7257,,,,,,,,,,,,0.19730258544942003,11.548025876957055,,,3.106306630897474e-05,1.0181921728251875e-07,5.959465529376723e-08,3.3865809918448487e-10,3.387735192471813e-10,3.3890849296526105e-10,3.3915942544758217e-10,3.3957920455000879e-10,3.4010678038252958e-10,3.4093880657968017e-10,3.4221791630149001e-10,3.4451717533696696e-10,3.476229318389469e-10,3.5320890950716141e-10,3.6203326427334402e-10,3.8179400527182151e-10,4.1286465571298023e-10,4.4715202923871399e-10,5.7992978581608322e-10,9.6035119534311115e-10,8.5444120172658978e-10,5.9331783789193338e-10,1.0172287335750836e-09,9.286153549170699e-10,2.0787717914665289e-09,4.6787983995490641e-10,1.4937427604893999e-09,2.330221301677791e-09,3.2346927804084156e-09,4.0155953344621652e-09,7.7685334721398259e-09,7.3481359290153338e-09,7.6149218314029365e-09,8.744463808142805e-09,1.7485028037331035e-08,2.0449746558069751e-08,4.1903682051522209e-08,3.1194625604910788e-08,2.502582861890198e-08,5.5826983066960236e-08,7.1368716824002092e-08,3.599222749171349e-08,1.2135724666951891e-08,3.186339118210708e-10,1.0607400842804442e-10,,,,,,,,,
431,,2008,0330,0302,IS_MMLI__BHE,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,89.675089,,,,,,,,32.438,35.422,,,,,,,,,,,,0.17401399034959145,17.699990091094229,,,0.00059544297350793004,2.068996284804487e-06,1.0094863064170973e-07,4.064803865715815e-11,4.1818418343861076e-11,4.2988798030564009e-11,4.5282073078803273e-11,4.8898060848507789e-11,5.3295124245781806e-11,5.9850668345480839e-11,6.9124661409839726e-11,8.8316002267891751e-11,1.0662070559857135e-10,1.345160413180054e-10,1.5953847954639421e-10,3.4253792901208994e-10,9.5060162082721017e-10,7.1056342409317092e-10,4.9148464102334669e-09,1.5255424329319597e-08,1.7291453350633581e-08,1.4896223189930282e-08,2.7015758980434569e-08,5.5575669702022671e-08,1.0733884159162876e-07,6.8413717502272749e-08,9.5951914322215784e-08,1.4213789277933821e-07,7.1268581660967261e-08,1.255779753527654e-07,1.214753214645909e-07,2.6888902825495002e-07,1.8163823024436569e-07,1.6043276030028775e-06,1.0717999329702081e-06,7.6744587467043221e-07,1.0896734203942979e-06,6.9301446355516215e-07,1.9351255864804076e-06,1.1573337088955504e-06,1.4643064931681884e-06,7.1236103272078887e-07,1.0442173027233716e-06,3.6708913903504529e-07,1.0031267634942431e-10,,,,,,,,,
432,,2008,0330,0302,IS_HNTI__SHE,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,29.391343,,,,,,,,33.0827,35.1741,,,,,,,,,,,,0.31799295261837968,8.9827751291936533,,,1.4115632275006921e-05,4.1191870104108423e-08,2.7667384557491181e-09,2.2904295654650121e-11,2.2909369710798513e-11,2.2914874103243483e-11,2.2925280010152803e-11,2.2942493264331156e-11,2.2963867640936998e-11,2.2996362136172901e-11,2.3043300051690669e-11,2.3122691711588642e-11,2.3231235331147724e-11,2.3438891098660489e-11,2.3779029100068891e-11,2.4085678684860831e-11,2.4486871092188957e-11,2.6857139852655101e-11,3.0497735318790738e-11,4.254666607292441e-11,4.1305492185142388e-11,3.7971252367579688e-11,8.3442362575927014e-11,1.4189125130090917e-10,4.2874289684066291e-10,8.4328080309864221e-10,6.4200419441126105e-10,2.2246204838213872e-10,1.8689984036767781e-09,4.8096627684974631e-09,4.2880059204663082e-09,7.8103287943348078e-09,1.2985524586675886e-08,1.931314570442992e-08,9.1433443481606524e-09,1.4685216112421943e-08,3.7786288944905372e-08,3.4163654287291728e-08,4.2812389393358555e-08,1.0764937150576376e-08,8.4898086102659455e-09,4.3473572166746456e-09,9.5337479731062786e-10,8.5628981795868336e-12,1.0632298364038603e-12,,,,,,,,,
433,,2008,0330,0302,IS_PRNI__SHZ,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,323.354351,,,,,,,,30.3522,35.0052,,,,,,,,,,,,0.27350115387935653,13.426600924495034,,,8.6576687742208634e-05,3.5477124584539638e-07,4.1411113288929628e-08,6.9353880764833724e-10,6.9394023392455519e-10,6.9498913095343986e-10,6.963873615253092e-10,6.9658390622895217e-10,6.969624603855756e-10,6.9605640881570092e-10,6.9305165857098754e-10,7.0131839490837496e-10,6.8474086956706711e-10,6.8487228355011139e-10,7.5177816357138997e-10,6.881447563919708e-10,9.4581932257987833e-10,1.6965170389312251e-09,4.9300302403261127e-09,9.8644604964475664e-09,2.834377786724947e-08,1.4188573039724643e-08,2.1216256111807573e-08,3.5216971492542993e-08,3.8140456771035645e-08,1.5123596906376953e-08,1.5139745205290717e-08,7.23154580207976e-08,1.5730091828798384e-08,7.1363415130872836e-08,8.5217239455113034e-08,1.1098221302375721e-07,7.4225401602221291e-08,1.8531715543780224e-07,7.5983928573531346e-08,1.3031899973755353e-07,3.5925077617634824e-07,1.0744817561080243e-07,1.3602084575058794e-07,2.611084042103209e-07,2.2122287628143778e-08,9.9621186088797431e-08,3.525307902626718e-08,5.1684365463267297e-09,7.5800721345219701e-12,,,,,,,,,
434,,2008,0330,0302,IS_KRMI__SHE,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,353.143291,,,,,,,,30.1178,34.7257,,,,,,,,,,,,0.28759319594357236,11.841793144174749,,,4.7786023747785049e-05,2.0229761663380769e-07,5.4115223358356373e-08,5.2710782685414611e-10,5.261118578150911e-10,5.2677630789521837e-10,5.301639139483562e-10,5.2599687776140556e-10,5.369372267208147e-10,5.2922674238772611e-10,5.3659456012497753e-10,5.1499076770208286e-10,5.6786538245296752e-10,5.5867579594706924e-10,5.1309302445973367e-10,7.7048578107605022e-10,5.4318792512147408e-10,1.1291168739486484e-09,1.4620349471089342e-09,1.7528013860900212e-09,3.0721870938865263e-09,1.4378540013296376e-09,3.8643388425466481e-09,9.0925184435529469e-10,1.7807171355606454e-09,3.3597546141160526e-09,6.6079606502397829e-10,1.5377009017663061e-08,7.6428547250654149e-09,9.0841553819155277e-09,2.5425604826573404e-08,2.6056124520643444e-08,1.8436224082011747e-08,6.9943713736504993e-08,1.7543192261954935e-07,2.748071269934163e-07,5.9508590848130744e-08,2.2090935224383603e-07,2.2142298448823267e-08,5.5494351063401313e-08,3.9398704873202473e-08,3.6764959555688185e-08,1.8638317029907317e-08,7.9432054879190052e-10,2.7945668804367225e-11,,,,,,,,,
435,,2008,0330,0302,IS_HMDT__SHZ,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,110.633973,,,,,,,,32.2529,35.526,,,,,,,,,,,,0.31799295261837968,12.76869862473219,,,1.7323932815008241e-06,5.8565239873219529e-09,4.4956772122505083e-09,2.5533350366053516e-11,2.5505063321346486e-11,2.5610966212028432e-11,2.5546788950499957e-11,2.619823298072647e-11,2.5309665964828341e-11,2.5039770285101128e-11,2.5334797541967094e-11,2.6223375524574535e-11,2.6047135569691654e-11,2.8844986057968501e-11,3.3770834060945963e-11,2.6159810437315097e-11,3.0908620505854217e-11,2.9456915175999332e-11,4.3336432710021275e-11,2.6103004568326377e-11,2.7080683987596303e-11,5.0347335551552703e-11,5.1302033855247255e-11,1.165759764413614e-10,4.8549493706897445e-10,4.5451997477781623e-10,3.974778946710924e-10,2.3561090833936895e-10,1.7484168272347613e-09,5.3509493607286724e-10,9.7429479650158294e-10,1.0077510840581857e-09,2.9907776751612204e-09,2.8413039674551948e-09,1.4336050996189666e-09,3.0305580125538618e-09,4.8165390460382173e-09,4.2896428679080956e-09,4.3418408260660185e-09,3.2667947802774242e-09,3.5504674680177454e-09,2.1845455865769325e-09,1.7578188497273055e-09,3.0218342223754053e-10,7.5252473385619712e-13,,,,,,,,,
436,,2008,0330,0302,IS_MBRI__SHZ,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,385.906647,,,,,,,,29.79329,34.9152,,,,,,,,,,,,0.19730258544942003,9.2112856408474109,,,1.8355369329553109e-10,1.196717899744969e-12,1.2705753177678373e-12,7.2183246327843619e-15,7.2222623359702345e-15,7.2268957619854839e-15,7.2352128169630715e-15,7.2490787924358787e-15,7.2662600526193588e-15,7.2942013482343011e-15,7.3347889505837756e-15,7.4082926024790757e-15,7.5017514640683827e-15,7.7573446655150969e-15,7.6814396982489241e-15,8.0283750428994699e-15,1.0060737743455525e-14,8.0959680524696727e-15,1.7507418002611496e-14,1.3006239459089722e-14,5.1315273952012791e-14,1.1595672438189087e-13,4.8123605341082448e-14,1.2392655048065478e-13,1.6966540602093024e-13,1.0801637774959967e-13,1.418594797656724e-13,1.472169062196296e-13,6.7684308476085939e-14,2.2443280055919458e-13,7.5212457681370183e-14,1.2118773335167536e-13,4.5776642149940167e-13,8.1454267965284875e-13,6.9346244310765513e-13,3.9392707865967755e-13,1.6362898564113768e-13,7.1384233658918231e-13,1.7957720522725174e-13,2.0712293132701e-13,9.6628971986005882e-14,1.4363086195537945e-14,1.7349001406814086e-15,1.5116751435742938e-16,7.9524568449989529e-17,,,,,,,,,
437,,2008,0330,0302,IS_MMLI__BHN,,,,IS,2.9,,,,,,,33.2466,35.4217,,,,,,,,89.675089,,,,,,,,32.438,35.422,,,,,,,,,,,,0.16548731966907376,18.15025559744506,,,0.00043275664028675224,1.3052102246265317e-06,7.4468538733989857e-08,9.5994101562754125e-13,1.7043361846016704e-12,2.4487313535757994e-12,4.3339799039313532e-12,7.3771881077435932e-12,1.1157679242527615e-11,1.6721137220032588e-11,2.4318262824035689e-11,4.0298450019297499e-11,5.4743318247510042e-11,6.5426267145425509e-11,1.8724119369921665e-10,2.7267295588194295e-10,6.0965469997474815e-10,2.2521135508276958e-09,1.99673339628404e-08,1.1190118861119493e-08,1.7501083090214027e-08,1.2387014413105239e-08,1.4394170442520863e-08,2.2688910734652702e-08,3.3390257090520243e-08,3.4639119702276821e-08,1.1836419297133656e-07,9.1903070881037973e-08,6.5160205692663944e-08,6.8904720823680577e-08,1.2497212837866538e-08,2.5403525943626847e-07,3.7533105892524144e-07,8.5865283056623943e-07,2.0002034765029644e-07,1.3135117400398968e-06,1.7644326205378809e-07,7.2684145401030436e-07,2.2205701969278762e-06,1.2228997005329891e-06,9.9887857335263355e-07,1.2443513193732216e-06,4.3370739421339953e-07,4.6162375817385844e-07,6.0674039559878472e-11,,,,,,,,,
438,,2008,0404,1417,IS_MZDA__SHZ,,,,IS,3.5,,,,,,,28.7147,34.8601,,,,,,,,291.820976,,,,,,,,31.3106,35.3629,,,,,,,,,,,,0.25364715576097929,8.5426199142600368,,,1.2346848998302176e-07,1.1648655470689258e-09,5.0683372372574972e-09,1.7172538626102814e-11,1.7177639674341992e-11,1.7183696014368431e-11,1.7194756524516719e-11,1.7213067451087535e-11,1.7235627027080571e-11,1.7270548249780258e-11,1.7324019759388978e-11,1.7412286547521804e-11,1.7544910898837139e-11,1.77579286580524e-11,1.8070168248368807e-11,1.8646543741958772e-11,1.976446859943952e-11,2.1482791450240064e-11,2.3877275256092681e-11,2.7236745154801384e-11,3.0209398832489277e-11,7.8970043179782748e-11,1.860920369281519e-11,1.0088547735164856e-10,1.0812019632107426e-10,1.3330035045039364e-10,2.6468076131532547e-10,1.7996348239760912e-10,1.2555483484141898e-10,2.4946631512452671e-10,7.6205172211620096e-10,2.1016414657724965e-10,2.3660925694417007e-10,7.0277458342422628e-11,3.4622025796091324e-10,1.5457096978482493e-10,3.29883150416546e-10,2.9592977213099812e-11,2.9768828667275963e-10,6.7242467385529355e-11,3.6621537778377636e-11,2.595336309757725e-12,1.0009101941546815e-12,4.9819603139551742e-13,4.7090673109987348e-13,,,,,,,,,
439,,2008,0404,1417,IS_DSI__SHZ,,,,IS,3.5,,,,,,,28.7147,34.8601,,,,,,,,323.19694,,,,,,,,31.5933,35.3922,,,,,,,,,,,,0.32608229374737568,8.1240322673048038,,,3.9821067035893672e-05,3.8461073955906232e-07,5.6413017343893146e-08,3.5104279879362095e-10,3.5105183074671329e-10,3.5106273574827152e-10,3.510816728991073e-10,3.5111252957652751e-10,3.5114900796107083e-10,3.512012571656338e-10,3.5127456087456903e-10,3.5137638295005098e-10,3.5151056513767397e-10,3.5165569705130877e-10,3.518146288207982e-10,3.518297491364425e-10,3.5380978804688542e-10,3.4868464703709396e-10,3.3241216574905601e-10,4.0833113946023269e-10,5.217072278523637e-10,3.9877911850787093e-09,1.436101680559062e-08,3.902981912309481e-09,3.2074741344691992e-08,4.5010519027779313e-08,6.3730040242402501e-08,8.9940529937088547e-08,5.6488667280392317e-08,1.1843328558398485e-07,1.2057616288069349e-07,1.931321341041365e-07,3.5768055374397087e-08,1.4217469339585271e-07,1.2731238185451058e-07,8.5511058863290132e-08,1.3945058058548633e-07,7.4904964089586489e-08,8.1971827692175282e-08,8.4476089186990266e-08,2.127593228461917e-08,6.5043376629506854e-09,6.3542353448586506e-10,3.2018680524337431e-11,1.7633531850723049e-11,,,,,,,,,
440,,2008,0404,1417,IS_EIL__BHZ,,,,IS,3.5,,,,,,,28.7147,34.8601,,,,,,,,106.393553,,,,,,,,29.6712,34.952,,,,,,,,,,,,0.14966692425061529,9.9322905629509144,,,0.0032952241030571438,2.3278004217223704e-05,3.8785430459918633e-06,5.0160442351824598e-09,5.0191088747962949e-09,5.0228223462127794e-09,5.0296625829596122e-09,5.0409411953272928e-09,5.053702877342866e-09,5.0791655857268242e-09,5.0663159205267006e-09,5.0739922944030152e-09,5.1420828406940996e-09,5.3264816484842169e-09,6.1464532062824216e-09,2.0567655523006891e-08,8.691913185658663e-08,3.3447787553144365e-07,2.2214660117903724e-07,5.4868504676292491e-07,3.3484986053370993e-07,5.9536511773079243e-07,1.8948446570633531e-06,9.458977422730167e-07,5.3696953301257262e-06,2.6698669084992847e-06,3.7965828711362876e-06,5.9573985786674845e-06,3.5244835562466979e-06,1.119908581552602e-05,1.7056952003939908e-05,6.183074388158324e-06,8.8093167617097406e-06,5.5615723011328144e-06,6.8899764455662924e-06,6.1397831384676212e-06,3.4544366089466666e-06,5.1245353168921243e-06,5.0653268352423019e-06,4.0992414877742914e-06,1.4500280147711963e-06,5.4830895403884301e-07,6.7097680182108286e-08,3.5294995565758592e-08,6.4005096979509036e-10,,,,,,,,,
441,,2008,0404,1417,IS_EIL__BHE,,,,IS,3.5,,,,,,,28.7147,34.8601,,,,,,,,106.393553,,,,,,,,29.6712,34.952,,,,,,,,,,,,0.17844068760047355,14.845846604961229,,,0.0038954376477239572,2.276807819615119e-05,5.1800377658873772e-06,8.1187481077538404e-10,8.1495498807150943e-10,8.1830604584743465e-10,8.2408406529886162e-10,8.3311764443226941e-10,8.4349135801892364e-10,8.730551389279019e-10,8.9198698572302828e-10,8.6092786500926271e-10,1.2868225941890724e-09,3.0113603064953091e-10,4.7523481067473191e-09,1.684484897684796e-08,4.3027164096747493e-08,1.130079156317047e-07,9.2759785264235282e-08,5.3098644102676648e-07,4.183462732674025e-07,4.4799066117162227e-06,2.3178642250182387e-06,1.8869442961635786e-06,8.7435665595418867e-06,2.1454339520893045e-06,9.5365613043201976e-06,1.2613695295733023e-05,7.0905883285256224e-07,4.7153204111037709e-06,1.0400369100985089e-05,1.8435350754351057e-06,1.3015859646377664e-05,1.4602521872361191e-05,2.120169235818443e-06,4.3646365752500762e-06,3.2695226079762611e-06,9.0584641476553539e-06,6.4752175787792223e-06,5.522471868703173e-06,5.5023905834128975e-06,2.822393982115021e-06,3.3860366488327878e-06,1.1681665273056573e-06,1.8669213898753434e-10,,,,,,,,,
442,,2008,0404,1417,IS_MZDA__SHN,,,,IS,3.5,,,,,,,28.7147,34.8601,,,,,,,,291.820976,,,,,,,,31.3106,35.3629,,,,,,,,,,,,0.14233325773169231,8.7599334303389345,,,3.1980731617033304e-07,2.5990127513881548e-09,3.9221285199071982e-09,1.2280049387524752e-11,1.2289782169985826e-11,1.2301535404858054e-11,1.2323856963315132e-11,1.236243262099533e-11,1.2413593888104034e-11,1.2490910356342791e-11,1.2604319238871972e-11,1.2832451006960651e-11,1.3200510851540515e-11,1.4561189299899547e-11,1.3190916764598034e-11,1.6421625141337441e-11,2.2108582061052095e-11,2.6649977263691391e-11,2.5894351989202494e-11,3.8385799427439295e-11,9.8068107908463234e-11,2.2580870290188966e-10,1.3203186072658273e-10,1.0916082188060726e-10,1.3705769766138715e-10,2.4436121024517673e-10,3.65026783536487e-10,2.1468208661915684e-10,8.9593005718486758e-10,6.5529942390464436e-10,3.2147497718444582e-10,7.1281625942209204e-10,2.2529845487732315e-10,4.0618716700918635e-10,1.3514129725968986e-09,7.7062862413006214e-10,3.2048854868930492e-10,4.3394328920733022e-10,1.1704323808659668e-09,4.0211687576476703e-11,1.5906102481484886e-10,6.1196608180510597e-11,2.193742090006743e-11,1.7477260964327028e-13,1.8124885367059572e-13,,,,,,,,,
443,,2008,0404,1417,IS_MMA0__BHZ,,,,IS,3.5,,,,,,,28.7147,34.8601,,,,,,,,479.600282,,,,,,,,33.01518,35.40311,,,,,,,,,,,,0.28045867955622106,10.184955554091268,,,4.5334086085210307e-06,2.472961259726898e-08,2.4627483647107242e-09,3.1858997002809024e-11,3.1876682735935451e-11,3.1897591074130524e-11,3.1934744165786232e-11,3.1995863517662289e-11,3.207030154216165e-11,3.2182180436204963e-11,3.2344501859029737e-11,3.2606376496769669e-11,3.2926029563179941e-11,3.3492837234965262e-11,3.4303572725693333e-11,3.5390536001792849e-11,3.724150727412718e-11,4.1824931196233524e-11,5.5669458677222562e-11,7.1818011213415648e-11,1.1665248572753545e-10,7.8794032659065464e-10,9.1471830432346916e-10,2.4663905843593935e-09,3.2660066417565245e-09,6.4968437643983607e-09,3.1421571005974524e-09,5.3647875020885132e-09,4.9308833369098102e-09,4.5498674731214841e-09,1.5272751889330193e-08,1.0920679149309911e-08,1.2399204990582749e-08,8.9959875175024843e-09,3.7749124287062569e-09,7.3980865406598369e-09,8.7352952296785389e-09,7.9182716498537213e-09,1.97309527708187e-08,7.2903620147474432e-09,4.2123051311331158e-09,5.2048856843350828e-10,7.7589549538139465e-10,3.6564439999314996e-11,8.3143769667795653e-12,,,,,,,,,
444,,2008,0404,1417,IS_DSI__SHE,,,,IS,3.5,,,,,,,28.7147,34.8601,,,,,,,,323.19694,,,,,,,,31.5933,35.3922,,,,,,,,,,,,0.24735476145225985,12.451936994525948,,,0.00010897709339562489,8.7732794069920767e-07,1.7421746366275435e-07,1.0653070059215701e-09,1.0669881408006801e-09,1.0635516328846937e-09,1.0688825887602284e-09,1.067499463619683e-09,1.086539327355409e-09,1.1044251822383666e-09,1.092169108378332e-09,1.1860637307328595e-09,1.0757178559680471e-09,1.0124746626897963e-09,1.0003633745473532e-09,1.5649647398228392e-09,1.6489689108489479e-09,2.8908751147059465e-09,1.4264198851561547e-09,1.6423416282647954e-08,2.1239442670728252e-08,5.5430432657568981e-08,1.2611745408279037e-07,4.5436822484945561e-08,6.295084557365342e-08,6.0193417069556022e-08,2.3144541516657413e-07,2.2873336433789458e-07,1.3587144451537016e-07,1.1255943711410264e-07,6.7970571286356216e-07,3.1213775214043609e-07,1.2436794188447259e-07,1.8454338521165525e-07,1.9588409461492803e-07,2.4283845937409135e-07,1.1575977830377665e-07,2.4740100159210836e-07,1.7946247821913864e-08,1.4519000459348677e-07,3.1994734470696928e-07,1.6860882010887844e-07,4.025733746573996e-08,1.0314924772093317e-09,2.6872958015422202e-11,,,,,,,,,
