eventname,date,sta
20130415093111,2013-4-15T9_31_11,IS_HRFI__BHE
20130415093111,2013-4-15T9_31_11,IS_HRFI__BHZ
20130415093111,2013-4-15T9_31_11,IS_NATI__SHN
20130415093111,2013-4-15T9_31_11,IS_BLGI__SHE
20130415093111,2013-4-15T9_31_11,IS_BLGI__SHN
20130415093111,2013-4-15T9_31_11,IS_NATI__SHE
20130415093111,2013-4-15T9_31_11,IS_GEM__BHN
20130415093111,2013-4-15T9_31_11,IS_HNTI__SHZ
20130415093111,2013-4-15T9_31_11,IS_GEM__BHE
20130415093111,2013-4-15T9_31_11,IS_GEM__BHZ
20130415093111,2013-4-15T9_31_11,IS_MMLI__BHE
20130415093111,2013-4-15T9_31_11,IS_HNTI__SHE
20130415093111,2013-4-15T9_31_11,IS_HNTI__SHN
20130415093111,2013-4-15T9_31_11,IS_MMLI__BHN
20130415093111,2013-4-15T9_31_11,IS_ZFRI__SHZ
20130415093111,2013-4-15T9_31_11,IS_KZIT__BHE
20130415093111,2013-4-15T9_31_11,IS_ZFRI__SHN
20130415093111,2013-4-15T9_31_11,IS_KZIT__BHZ
20130415093111,2013-4-15T9_31_11,IS_ZFRI__SHE
20130415093111,2013-4-15T9_31_11,IS_MMA4__BHZ
20130415093111,2013-4-15T9_31_11,IS_MMC2__BHZ
20130415093111,2013-4-15T9_31_11,IS_HMDT__SHE
20130415093111,2013-4-15T9_31_11,IS_HMDT__SHN
20130415093111,2013-4-15T9_31_11,IS_MMA2__BHZ
20130415093111,2013-4-15T9_31_11,IS_MMB2__BHZ
20130415093111,2013-4-15T9_31_11,IS_HMDT__SHZ
20130411035608,2013-4-11T3_56_08,IS_MMC6__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMB4__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMB3__BHZ
20130411035608,2013-4-11T3_56_08,IS_OFRI__SHE
20130411035608,2013-4-11T3_56_08,IS_OFRI__SHN
20130411035608,2013-4-11T3_56_08,IS_AMAZ__BHZ
20130411035608,2013-4-11T3_56_08,IS_OFRI__SHZ
20130411035608,2013-4-11T3_56_08,IS_MMC1__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMC4__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMA3__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMB1__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMC3__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMC7__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMA0B__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMA1__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMC5__BHZ
20130411035608,2013-4-11T3_56_08,IS_MZDA__SHZ
20130411035608,2013-4-11T3_56_08,IS_MMA0__BHZ
20130411035608,2013-4-11T3_56_08,IS_MZDA__SHE
20130411035608,2013-4-11T3_56_08,IS_NATI__SHZ
20130411035608,2013-4-11T3_56_08,IS_BLGI__SHZ
20130411035608,2013-4-11T3_56_08,IS_NATI__SHN
20130411035608,2013-4-11T3_56_08,IS_BLGI__SHE
20130411035608,2013-4-11T3_56_08,IS_SLTI__SHZ
20130411035608,2013-4-11T3_56_08,IS_BLGI__SHN
20130411035608,2013-4-11T3_56_08,IS_GEM__BHN
20130411035608,2013-4-11T3_56_08,IS_HNTI__SHZ
20130411035608,2013-4-11T3_56_08,IS_GEM__BHE
20130411035608,2013-4-11T3_56_08,IS_GEM__BHZ
20130411035608,2013-4-11T3_56_08,IS_HNTI__SHE
20130411035608,2013-4-11T3_56_08,IS_HNTI__SHN
20130411035608,2013-4-11T3_56_08,IS_MMA4__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMC2__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMA2__BHZ
20130411035608,2013-4-11T3_56_08,IS_MMB2__BHZ
20130604090227,2013-6-4T9_02_27,IS_MMC6__BHZ
20130604090227,2013-6-4T9_02_27,IS_MMB4__BHZ
20130604090227,2013-6-4T9_02_27,IS_MMB3__BHZ
20130604090227,2013-6-4T9_02_27,IS_OFRI__SHE
